id,titulo,preco,link,avaliacao,num_avaliacoes,comentarios
1,"HPCartucho Hp 3ed70a Nº712 Preto 38ml HpAvaliação 4,8 de 5. (28 avaliações)4.8(28)R$289,90R$260,9110% OFFem12xR$25,52Chegará grátis amanhãEnviado pelo",289.00,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=ZeYY2oaShlj43coiS4vK%2F3vdpbzjKEQn2ZsT2Hu5JNcP7YqMriM4B2LVl%2BF2RyfsdTAnpKjsnU96jl%2FiwXQw73d2%2BBtJNHEhuRicjIp2AoMggDNjxlpO0tQo4m1pd8f%2BiUiZe%2B4F5%2FRWft3K3bzbXf2wdqyyamsa%2BjfRO1q2ggAknR6CiWtPD6LlvrtgqMkrWr6xp8q%2BVGE5590kZ92zUeBvSNXRDJaGjJIJ6VUHq5dt%2F2nuTfZQ%2F2sQm2P10omeUrdtSsCOgqdMH6Udy00n0DzBAaysUg2onFfDOU9zQSGr0TEwM31JCKiqjw5tU6%2Fa%2BYvsD1St3eLZ%2Bj1EF%2BrpGavLbs0LkqRNIwnvq9Zn9RFrtwADYFNGfZPqyqbtaYPr2EiigdyHtWstxEpQGgbiX8nXRjzGRpYFDN3UOh5oSBvwJy31WNW4uxvpxc%2Bl6MIA7EfkaSwQjJ4Do0SSc6yqjLpOlw0tTOw2TL834HXXdOPlnbk1MSxkWWsInlpWA%2BMbSG7PzZ2S1%2FolvHnU93hxh37EM2ktw3TcwIUhARBFZf17tPJqH4YYgkLD1FU73fawqqhXSOVlB66wEMXide%2Be8rjurj%2FTEfIq%2FhVcJN%2FmRjFPUkh6Oc%2Bdoi%2BAz5FOv3L%2BXFvYjzJRJ1NKa1eHvgLPbd3xc%2F9WBJqxtU1D9e49zckTyQp4iuiPeUwJWzIoNNdixjLEq39APxmEpaGS7%2Ba2rNSJnIUZ5Y2TnMye%2BKFcK8ulW4CsNRdcepCIeABoMaUzLdAVHcuUd5yCtupnJgWrZM0r%2ByWjbAlSx19ZA9wIQ34wMZtoBAH%2FFEBB9%2FM2hZe8QMSh8%2F95juSDvNPF1qy3qqzzKxs79nyoGEKIqv8fXg9dTNbHXEYuNzE1GDIsX9Q7e50Ou0TVF4ZKrTHlUnKgHxmaM05nUrfoyZIjG0UhFXiq%2Fr%2F%2BcF2Qqr2kcO0Sy5dCdq5vIEc2yoEg2yzo0qVy&highlight=false&headerTopBrand=false#polycard_client=search-nordic&tracking_id=2c37baa5-3ef8-43a8-9ab0-cd83d1bb0fa0&wid=MLB4660423580&sid=search,4.8,0,"Me atendeu muito bem.; Muito bom, recomendo.; Ótima qualidade.; Quero devolver está com defeito e não funcionou."
2,"HPCartucho Hp 712 Ciano (pack C/3) 3ed77a HpAvaliação 5 de 5. (3 avaliações)5.0(3)R$453em12xR$43,73Chegará grátis amanhãEnviado pelo",453.00,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=AHWa%2BBadVA0U8GYlCak6SpDI9w2aKshUXkUdu7WWPaN8tuQ0WgOjqlIEM3%2BggujaLCspRH2%2FBlnCxosE%2Fgj%2F11%2F41T23UWtSPW00PxnrfkaNj3yk3z1AANlQ0cJiVrYbSmDqDT%2BNgWxve5MovObJt9MNd%2BiCe7LXtAt2XgjOr3Acdo9l7bdhpDqH9GXL12QK9Ai2sAm8M5ZbCh%2B0X1vMsA7WHpy8dJD6NllC0V36oDhhzAFYNeB1NdxywHu31auNtywIIv2xCK8Rj0lU3V1vOot5G0R2jRTU%2FIfFvtUkQH%2BysnQSSsoyHiwc9k980KHR3d5E8zp890v1M8h%2FghSqu1QWyQq5d7Utx1NH3Cmjop0LinCKSTLWpaNfCsur4q2ub5%2BAPRoVmgHQa%2B4UihR3lAadxv291Eoa%2F5UedWrVKjGYan%2BFbTdIOeeMvE5dLxUcppiRQbn5zwvZzTjx8yRlZQdXjFA0Fvcc3B%2FwO3nlPjj0%2FASyiu%2BIKLInOw8E8CewEG0WT8CHqA9TuAQ0sCnBegTyhez1A8dZ77Nn7euv5ggkAd5UxhxW7lgQnPEaM5iFCe6hD6kN0mFAbLqtk7xD0vLsPH2DMV00p6dreUujfvjVvBxwvWf9LZ7iq1sFSy5N5KRiNT2Wzm6P1RrL73hXSda9OYtVKM991JIr8EheVDfHVsYrZwf3MiIHmqF2Wpn1%2FgB8RnuaEDgOvnOW5H6UdQoorCtyCN9KsiHMABHDlIO5YPZgcW3EWWH61G6YEBBtmGjgBMxyRZkPU8uVXlXOOhuTvM1s7CO563k1U5Ulnoh%2BeQLdAtzk4JMpzUV99QOFR09sIcyIndwT9VkVHoLUKFYa%2B0aRCAqyLYF6cuz55zgnvQ4d0hHoXZpKr9r1dDc%2BcDNM1qbmVPiATfXhPs2JZ1RiB2PjrdsFIIFuvvR9DsZ1xhoHHKnpzS2iL8JmpB4GZGkLoPC%2B%2BQT6uyJyyfMo6c0V&highlight=false&headerTopBrand=false#polycard_client=search-nordic&tracking_id=2c37baa5-3ef8-43a8-9ab0-cd83d1bb0fa0&wid=MLB3866464859&sid=search,N/A,0,N/A
3,"HPCartucho De Tinta 712 Ciano Hp T210 T250 T650Avaliação 4,8 de 5. (15 avaliações)4.8(15)R$229em12xR$22,55Chegará grátis amanhãEnviado pelo",229.00,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=p3I1GkYHg%2FrkQ%2B3ZSAF6pTyRUCWazUxA0kiPospG5tJX0vL3WuSWQTIbqGAmpPV8JFddEgVb1WhOxkuUg2s3hPOgFlAQu1FUgtvhn26whlKDLeteHWrpHGjlI4g4peJ%2F6zLs%2FPD3IAh9PwEc29S8sxR5VFK01CASH%2BrHAmdkvIHxPGbwWsRXvsoTt%2FP%2Fu1E7HTRpbrMzKt7MkzzXe6aeNevHkLPItSSTfZI8%2BbQEl8HCwFVpQdb%2BKhC2LIxpjXGZ3Kc9WqG6x2NxtPt1iYyLBtBcHJhLBkqYy1V62IJOdlz8HEPTPo8BXixZD0ITRb5joqRrsSOpHLoGD8qB%2BNJEtQN5%2FeGId5KWR5Z1LFUaXjKBodT9GsnKvW2YcQBxcN36mYOow0NOdDEi6lQ72fF7u8Oi4xyXG50sjHPYNI9NxDjM2IkUmFSrhsKuM4JqLKEdFcQOcD9i4nODeQFDgKNrKajtY616OutB2n96kwoxl588Zi%2Fj3iHV%2BeBJiUJ7dfEZA%2B9bLQISTDdlXmmj0ikyKf%2B%2FwDsBGWi2Gc5emobC2KL8RXeSRzpKiwfV7uqR4U1GfTQwPmMD%2BoPdx7U2%2FPukaRqV6C9lICvkVaCSGWdSeoEgupGy76M%2Fxlt%2BCjd2u9HTEjp%2FXSvWqWaw%2BiCnm49n7CDC%2ByFWldSKEfQkUABv1jYDJZEghEpqBxWc2lDsn3X89SwOYAhhkhDoPQBuexXWozgIHu4XyabT3jSJWtiXnIfzsa%2FT6nX8k3eONcjBy8m9fd%2ByiLXYycFV9RmNYBPuDKz%2FZmaMZniD8ivaIdUR1NJu60owoj6HltSWPWsvnk8cNHNd%2Br8Wj9RqxQpXXYkmCXwr8eL1j9rhiVCuXchs45dLngXABXUpHHCwqD%2BBG%2BbMQwqAMnn1VDJyiZGVzb9aGUEshV0rKTuvJR9TjiW4qrY65OYgWmU8N%2FjrHtrZpV5NVIcNE%2FIyPbNDt%2BrCVhF4Ugca4PM9YmlS%2Fg%3D%3D&highlight=false&headerTopBrand=false#polycard_client=search-nordic&tracking_id=2c37baa5-3ef8-43a8-9ab0-cd83d1bb0fa0&wid=MLB3841626547&sid=search,4.8,0,Otimo.; Bom.
4,"RECOMENDADOHPCartucho De Tinta 712 Preto 80ml Hp T210 T250 T650Avaliação 4,8 de 5. (46 avaliações)4.8(46)R$419em12xR$40,45Chegará grátis amanhãEnviado pelo",419.00,https://www.mercadolivre.com.br/cartucho-de-tinta-712-preto-80ml-hp-t210-t250-t650/p/MLB22536214?highlight=true&headerTopBrand=false#polycard_client=search-nordic&searchVariation=MLB22536214&wid=MLB5046810704&position=22&search_layout=grid&type=product&tracking_id=2c37baa5-3ef8-43a8-9ab0-cd83d1bb0fa0&sid=search,4.8,0,Top.; Tudo certo.; O referido cartucho a plotter não conseguiu reconhecer o chip portando houve devolução da mercadoria. Com exito.
5,"HPCartucho De Tinta Hp 712 Amarelo Pluk 29ml 3ed69a WespetecAvaliação 5 de 5. (14 avaliações)5.0(14)R$229em12xR$22,55Chegará grátis amanhãEnviado pelo",229.00,https://www.mercadolivre.com.br/cartucho-de-tinta-hp-712-amarelo-pluk-29ml-3ed69a-wespetec/p/MLB22304579?highlight=false&headerTopBrand=false#polycard_client=search-nordic&searchVariation=MLB22304579&wid=MLB5046799182&position=15&search_layout=grid&type=product&tracking_id=2c37baa5-3ef8-43a8-9ab0-cd83d1bb0fa0&sid=search,N/A,0,Bom.
6,"HPCartucho De Tinta 712 Ciano Hp T210 T250 T650Avaliação 4,8 de 5. (15 avaliações)4.8(15)R$229em12xR$22,55Chegará grátis amanhãEnviado pelo",229.00,https://www.mercadolivre.com.br/cartucho-de-tinta-712-ciano-hp-t210-t250-t650/p/MLB22559081?highlight=false&headerTopBrand=false#polycard_client=search-nordic&searchVariation=MLB22559081&backend_model=search-backend&wid=MLB3841626547&position=13&search_layout=grid&type=product&tracking_id=2c37baa5-3ef8-43a8-9ab0-cd83d1bb0fa0&sid=search,4.8,0,Otimo.; Bom.
7,"HPCartucho Hp 712 Ciano (pack C/3) 3ed77a HpAvaliação 5 de 5. (3 avaliações)5.0(3)R$453em12xR$43,73Chegará grátis amanhãEnviado pelo",453.00,https://www.mercadolivre.com.br/cartucho-hp-712-ciano-pack-c3-3ed77a-hp/p/MLB22546182?highlight=false&headerTopBrand=false#polycard_client=search-nordic&searchVariation=MLB22546182&backend_model=search-backend&wid=MLB3866464859&position=7&search_layout=grid&type=product&tracking_id=2c37baa5-3ef8-43a8-9ab0-cd83d1bb0fa0&sid=search,N/A,0,N/A
8,"HPPacote com 3 cartuchos Diginet Hp 712 Yellow T210/230Avaliação 4 de 5. (6 avaliações)4.0(6)R$453em12xR$43,73Chegará grátis amanhãEnviado pelo",453.00,https://www.mercadolivre.com.br/pacote-com-3-cartuchos-diginet-hp-712-yellow-t210230/p/MLB36796527?highlight=false&headerTopBrand=false#polycard_client=search-nordic&searchVariation=MLB36796527&wid=MLB3866515915&position=9&search_layout=grid&type=product&tracking_id=2c37baa5-3ef8-43a8-9ab0-cd83d1bb0fa0&sid=search,N/A,0,N/A
9,"HPCartucho Hp 3ed70a Nº712 Preto 38ml HpAvaliação 4,8 de 5. (28 avaliações)4.8(28)R$289,90R$260,9110% OFFem12xR$25,52Chegará grátis amanhãEnviado pelo",289.00,https://www.mercadolivre.com.br/cartucho-hp-3ed70a-n712-preto-38ml-hp/p/MLB22534666?highlight=false&headerTopBrand=false#polycard_client=search-nordic&searchVariation=MLB22534666&backend_model=search-backend&wid=MLB4660423580&position=4&search_layout=grid&type=product&tracking_id=2c37baa5-3ef8-43a8-9ab0-cd83d1bb0fa0&sid=search,4.8,0,"Me atendeu muito bem.; Muito bom, recomendo.; Ótima qualidade.; Quero devolver está com defeito e não funcionou."
10,"HPKit 4 Cartuchos De Tinta Hp 712  Preto 38ml + CoresAvaliação 4,9 de 5. (8 avaliações)4.9(8)R$979em12xR$94,71Chegará grátis amanhãEnviado pelo",979.00,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=bB7RABJvxe1RmUvjQNskQF%2FD2QMIg8NfbhuM1vvqEZ4PpQVWmAl%2FWjGSF15okHl9Sm93YWh%2F%2B59JUjeBlOcgGdN5nJFEGTcEV94HALxWemTgzkXgMUl1ZCVbO8Lt%2FXXcITuI1yvFu%2B%2FsBNJ4dGgR4E9qTdxR%2Bg0jkc5l94ILnmgyj3eYghD%2B2Ch43E7u5Wt1DTeJOJ7bT%2BjNQP7Xm9C05c3PrQhUNVrrH1EO0Xy9eWhWQIWEuSN0ANwSaRzJ3vuNwpkEwG79vBngHRvtTP%2BpGiJajEG5WvuH2ny9JevH9PEhy1Np8SrcSLW1puUgYz%2F7xAN8E%2FNQAigjj35%2BOlxvRBnvf1R87HbWYBCcDdEPpZ1Peh6zFoVZrVUK4J%2BJP%2BePer07Q82rx01PaCPF8kUFAakN%2FUzzQ0WHHpxs4ZLBuUc5UzaGBOV8NUAXZGB7xbNZlLZ%2BukAgVFWAH0X4pn%2BxZjnTE4CzAG5qaA6JT0DgQZMVPaLBrz%2FJxg8Uq3h16fV3GJi7WvDV3M52eRc1iT9IisXGBMtZL3RcCTxZgmK3Mp3Iu0%2FDLzTLjbzwUuM8cil1eMmCjwc7OZk0Yws5djkhtpsr3xRlG2UqdQ60JOBqzdJeO6klNb703%2F2p0tICtHeADoAHs2j0O1MJ7JR74MDt%2FHc8oXyKcmwP9plCRXmwV4XoSJB0fCRHHKKHf4ZpIUGpHqEBOkyEff%2FEyaZbtTxyemmIx7lkRlKrWmJUlb9vVm1wg6%2B79qQPcwQYL8MoD7lDCl7qDdsVQ2%2FM2CrDqnkjzMGyr8W3bGL6GJtOPiytuNDF1EUdIECloShh4kl8uKVzlZmRJkRzkG7irmbK%2BFDuMt7oRyPpag%3D%3D&highlight=false&headerTopBrand=false#polycard_client=search-nordic&tracking_id=2c37baa5-3ef8-43a8-9ab0-cd83d1bb0fa0&wid=MLB5046766074&sid=search,4.9,0,"Produto original e lacrado.; São originais, a plotter funcionou bem."
