id,titulo,preco,link,avaliacao,num_avaliacoes
1,"HPCartucho Hp 3ed70a Nº712 Preto 38ml HpAvaliação 4,8 de 5. (28 avaliações)4.8(28)R$289,90R$260,9110% OFFem12xR$25,52Chegará grátis amanhãEnviado pelo",289.00,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=crbLoKOundh%2Blgwy9%2FOmc%2FgglWrY3iuJ%2FO3463KVLF3MktCAxs4mvWoQdIIHvqZWy8%2FMS2LM56%2B1R1VBeGDD9KDGwTOzKOgGAy2%2FDVeO70G5HhGDvkqLBqeJFZudeontrglbuvJ5qvKLw0FFeH3USzRYKI83ttgBStbVY4FiondzqZT0JA9G%2BuAuQDGJuGFo4hHJAD5MsOdXrJ83Hd0V9Rpcpon5tBRfw8ktWZIfmpAj1CSng88VRtEL9a183LG5enDlCpo5a8ZL%2BpVXVIoJi%2BpfHB2OQbX9qFKbjKmSgsw7oUz%2BOA2rD5Dh6w%2FsNWRDBVZglaSbfneuWjRL04KxozEEAsStArNYL7S6k%2FYy8Pz3D9o0X9XBfrIC%2FWPsWKq7DXR6pu4hplMwk3qEbB5JZfB%2FzoHT5apKo5imUB5ti8r2qn5N5lGIz1d6U%2Ba1tNY6mc80ZQt%2FZVVcUQVO0k7lYlEaWcg%2FxVby4Bkms%2BV6vVwnAW%2B4FMjpiPA%2BnIM%2FfSbO5ajDRew7aVk5%2BNM4TsalcOCJFQyxoHVtzaK3Fl%2Fv6xw8mlW5e4umMpDPj64FJxlUUOBRmCCsTRlZhu9rKSwgL0JMWv2GpA%2B0oG9pKE0%2FKOGzcNQIUlOIvflYj4fsyKWvypWNr8DAwgczEtVIj68BWBz8tcZdse%2BzGfyfOHShj1aYOAcwcTZXVZHIAJMmrhE%2Fs0OAGD9keeRf3rpu8A2nywFupKt2DSRsnlQI5uFA1b4a1PEbTw%2FT1Hy1%2BsULF55zj0A%2Bc%2BR0aCwao3O5itsjNOJEWR0UrvlJQTfvjWmSD7NPTYV35s9iAVD3BvPDrpJKeds5sobDwEAseXkR%2B7JpyMzwgL4bBY3vkmWl6kwqd0OH1qVnUDqbGHFJvzirmEhbRWYiaPRF0enNf7V%2BrW2HfJ27b0Wk6Y8kgAcEjtrF7UkJeuEh%2BcRd9wm7dvoGU0TA6%2FjY2XOCm81HDY1jUYXjjlBNVx5h&highlight=false&headerTopBrand=false#polycard_client=search-nordic&tracking_id=36868a2f-fb24-4dcf-9c1c-0581b8a7e2d7&wid=MLB4660423580&sid=search,4.8,0
2,"HPKit 4 Cartuchos De Tinta Hp 712  Preto 38ml + CoresAvaliação 4,9 de 5. (8 avaliações)4.9(8)R$979em12xR$94,71Chegará grátis amanhãEnviado pelo",979.00,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=ic68nuWZ7zRCQcukesr3NNUimc9J6Qwbk9K%2Biuy9HcvWkcbp29a0JqLQSH3bPq4DJ5JFxKKtP2vBPf7V8UEEnZnDaq%2Bjd3qunhH5JbMfRskSQ6MOJUXUpa8Dd8OHRhZSIh3%2BVl6gUlX3TZaCNCs%2BJNbAnO9v4ot5axjkgcy8S2v4nc4l7GzPNwdbjPP%2By6L7pLo8jZ82iAwDvbB1qQ4R3wWXBGuwNBee1B8B%2BWgq9HgpFrY%2BuNbyIncIGrUiak8Vi0HewI4p7HLZNBD6AMVSX%2BZRmgjkKea5zXi%2F%2FKG6g5aYT2jXjZTaivmqWahrRFFsIQUcrlSnFK4B84ph%2F5kKWYnNWrhs%2FfZJoX%2BLoi2aJxirBQUis%2FJxPs6EOix7HjJm%2BXpwKSar6xwPR2Nnmi76tVLwDO%2FODObWCCSXrHYb%2B8Qfolva8%2Fe2qeCqcScC8irFh1RwzDoz62aF%2Bihm1LTgYJoS4APXzBkoTLDkfAVmnSG%2FW1EJ%2F4PTVnYSKc3zuJK85H6ceEBtem7Ye7EHBES3gTuGA6mnkvK4at3pmk7Wl0sVMSbtpQSFAg6iuHPgxi%2FYxYs1zaWsQYGFhkyBC%2BAv1DgNM0%2Fa9N3bBB325cdLYvXjChJ5GvGBXe48KOBRNt%2B3vVk306JlObY%2FpdhtdryHs2XEvEHKDhFcOtAWOZunAbdgLx1EbAedIea%2FkYGY1Emoi02tNuHKwEv%2FQxTXVMPj%2FLKxdQGx3qsUnexkURTQ5HesFjYncF42hOkP77iKp%2Bw8chG48ByPsyCkt%2FJgSt5ijtTgBA57vQopAbo8k0g6EEVIrafJAQMVRT3V264dyjW1X3dn7VANo027JtZ2g7SZ&highlight=false&headerTopBrand=false#polycard_client=search-nordic&tracking_id=36868a2f-fb24-4dcf-9c1c-0581b8a7e2d7&wid=MLB5046766074&sid=search,4.9,0
3,"HPKit Cartucho Hp 712 Original Preto 38ml Plotter T250 T650Avaliação 4,6 de 5. (28 avaliações)4.6(28)R$1.099R$989,1010% OFFem12xR$95,69Chegará grátis amanhãEnviado pelo",1099.00,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=MB%2F08FbbMBFOLoS8Hkgd3h%2B75gBfDWPsI5ifd9Y03ENpdSLfH%2FVg30xLMSj2X%2FF%2FSRPYm2sRFG384wxxS4ny0SC4x9WmZYT97JStNtq8IA8tuWq6TWpFxmffq%2FjGg26KU7JJ7Q1h%2B9%2BOgFMHcfcY%2FLUKUIRI6snTI9yiu8KFxScuBeTQd%2F4sA6KcyBVvspbTX7xmmqD2UdRJE9gGijSLkDZrLvDv3IimbIT%2BqBJfkhqpzmiVPf9Eg35CUwdoexTsKRvu2FBQuIacxBk5EQyY7M66RIIUgYECnlAyKejPLspGAAPYxWA54q1Sy4%2B8dUdQ1QJF%2BvL2XFH8XofIlZ6qZufqn8Se1YZPBSLBDYmGWD3NFhKFfKo%2B7YpbZM2EpaqBalC5VoEOiWgof%2Fo5Aw5E8MkHEe5UW9iw%2Bdip4JoSYR5zaZoryYMdomUGusxYOKLjSjemOFOy55jFGKoNhSJ9LgcWfzR%2FJdSg2ldRCLMHPtP5f8fAhI%2Fwxba6eR7QOTQNuuInzIk%2BVuyvw87bJUfTSz1PldMQ%2BHj5Ggu9kRzEC%2FTPQNz901Q2jnsUjdjKs1JPPe0iERkiXIjuRnntoUXZPj4eewqB9zfTLoTUYSful1TpMh6EP8kxchkWhjethGQa0jlzxIt6eJWEVvBuCX0bl3xof6xIufA47a2u%2FYBZ4bx%2F4xr82uP7FIyM7JaCws0FZplxOFNyh%2BzVJnUc77hDabCWEJLTUirSXDhXU2V1dMib%2FfFkeSeWVqy5siYn6n8CBJ3TnfoyLcHJYwCsxopR06rQXqx1uvzfF%2BEhkLhsw41VZEWbQPHnqI8Cx%2Ftuji7ONFKTV3TmCgcgOwxG5ExNFDewCeg7Xnk9&highlight=false&headerTopBrand=false#polycard_client=search-nordic&tracking_id=36868a2f-fb24-4dcf-9c1c-0581b8a7e2d7&wid=MLB3750171931&sid=search,4.6,0
4,"HPCartucho Hp 3ed70a Nº712 Preto 38ml HpAvaliação 4,8 de 5. (28 avaliações)4.8(28)R$289,90R$260,9110% OFFem12xR$25,52Chegará grátis amanhãEnviado pelo",289.00,https://www.mercadolivre.com.br/cartucho-hp-3ed70a-n712-preto-38ml-hp/p/MLB22534666?highlight=false&headerTopBrand=false#polycard_client=search-nordic&searchVariation=MLB22534666&backend_model=search-backend&wid=MLB4660423580&position=7&search_layout=grid&type=product&tracking_id=36868a2f-fb24-4dcf-9c1c-0581b8a7e2d7&sid=search,4.8,0
5,"HPCartucho Hp 712 Preto 38ml 3ed70a HpR$267em12xR$26,12Chegará grátis amanhãEnviado pelo",267.00,https://produto.mercadolivre.com.br/MLB-5046759064-cartucho-hp-712-preto-38ml-3ed70a-hp-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=9&search_layout=grid&type=item&tracking_id=36868a2f-fb24-4dcf-9c1c-0581b8a7e2d7&wid=MLB5046759064&sid=search,N/A,0
6,"HPCartucho Hp Original (712) 3ed70a PretoPor LepokR$329,93em12xR$32,28Frete grátis",329.00,https://produto.mercadolivre.com.br/MLB-2770840497-cartucho-hp-original-712-3ed70a-preto-_JM?highlight=false&headerTopBrand=true#polycard_client=search-nordic&position=13&search_layout=grid&type=item&tracking_id=36868a2f-fb24-4dcf-9c1c-0581b8a7e2d7&wid=MLB2770840497&sid=search,N/A,0
7,"HPCartucho De Tinta Hp Plotter 712 3ed70a Preto 38ml OriginalAvaliação 4,9 de 5. (18 avaliações)4.9(18)R$260em12xR$25,43Frete grátis",260.00,https://produto.mercadolivre.com.br/MLB-2199982950-cartucho-de-tinta-hp-plotter-712-3ed70a-preto-38ml-original-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=14&search_layout=grid&type=item&tracking_id=36868a2f-fb24-4dcf-9c1c-0581b8a7e2d7&wid=MLB2199982950&sid=search,4.9,0
8,"HPCartucho De Tinta Hp Plotter 712 3ed70a Preto 38ml OriginalAvaliação 5 de 5. (3 avaliações)5.0(3)R$297,50em12xR$29,10Frete grátis",297.00,https://produto.mercadolivre.com.br/MLB-2204385156-cartucho-de-tinta-hp-plotter-712-3ed70a-preto-38ml-original-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=15&search_layout=grid&type=item&tracking_id=36868a2f-fb24-4dcf-9c1c-0581b8a7e2d7&wid=MLB2204385156&sid=search,N/A,0
9,"HPCartucho De Tinta 712 Preto 38ml Original Hp T210 T250 T650Por Primer PrintAvaliação 4,9 de 5. (18 avaliações)4.9(18)R$409,25R$380,607% OFFem12xR$37,23Frete grátis",409.00,https://produto.mercadolivre.com.br/MLB-1945769390-cartucho-de-tinta-712-preto-38ml-original-hp-t210-t250-t650-_JM?highlight=false&headerTopBrand=true#polycard_client=search-nordic&position=16&search_layout=grid&type=item&tracking_id=36868a2f-fb24-4dcf-9c1c-0581b8a7e2d7&wid=MLB1945769390&sid=search,4.9,0
10,"HPKit Tinta Original Plotter Hp T250 T650 712 - 04 CoresPor Tec PrintAvaliação 5 de 5. (14 avaliações)5.0(14)R$1.259em12xR$121,88Frete grátis",1259.00,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=T0VoSGshnoL51rkKzp1UbrGvwSlqOgdh5H%2BRlJuVbXoaQNYpco2QGAT88rIUr0V6LDYWS1xptdyrL3dXFPySVSjDRUQ%2B7ePHdf083O7Xfib7MDyD3gprtSk3Imk0EHgEBakhx8tiE%2FAPL1QwH7NqpvAQu%2F25KhHAgaeDKCuGNwKPN0x2uHDTFlwvfpYweBr9ZFCRQiy%2B9mAkO5tHZSJVpjBjI6TM9Z8otOS2VFsFZOFQ0EJBuec6MbYCvuHJAFvIxKk9gUOvVqAfRGlQzPh7eoqOoKWLUa5%2F%2Bysv8qO1eWGI4PwLfGWs0m30Sp6GdNGz3Zpo58q20cw4628DLQ8evamLHjE5vaI%2FuCOs26I8y8Ql09CHGm3CJxaWZKbcYQnG4ADnhiYw21aNdWvZIs5D%2BVZSKlI%2FZOKj6CktmvzRVqqztslCgq9rvbDwgIfXm7uCQL7v79Pj6BwoPGN%2BE6MQ8ydNbvNXF2Vb9pxN%2Fh%2BF66JXg8%2FZBIh7pPukd4PrO%2BzWDZMSyrCbBhsFsiGb7F0HE4ooVMvRzmyRAcsuZB%2B79h1M2O4%2BWKk0ENNEp2PpzVs%2BdxFiYStZlqlnhJFL%2FSs0PLLjkSByeTxjaYCESg61uM07ycJT4vH80Z0GNmEbdasTWTHBOv8vwABRPbXHTTyCFHX8BOf6sqUXTaiYVCxXV1RGGwzJW3WWswm7Jb26smYJl%2F2bTgqjsgKurzVJtp2dKvBZl0jW5PR3%2Bjb870jzTne4gAe3cyAHagbUQhpiEh%2FdHa23KsCrHt3BefRTWAAt44fABWz2PIUFu%2FzngfTySYyMkYZQksZPKQprNhMTAKTKhgg57V8lJjMCJrlgMDlNip2Bj85z&highlight=false&headerTopBrand=true#polycard_client=search-nordic&tracking_id=36868a2f-fb24-4dcf-9c1c-0581b8a7e2d7&wid=MLB2169674439&sid=search,N/A,0
