id,titulo,preco,link,avaliacao,num_avaliacoes
1,"HPCartucho Hp 3ed70a Nº712 Preto 38ml HpAvaliação 4,8 de 5. (28 avaliações)4.8(28)R$289,90R$260,9110% OFFem12xR$25,52Chegará grátis amanhãEnviado pelo",289.00,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=%2F%2BeU08fozSnY5RdAW0LrW4SjpMpyonDGLzKwOh7WXmriVLLS%2Fjn0QRHefeUdjeLpxFrquO4xBkuxyWnMwe%2FkQOdvHIPd%2BOeuVTZsz4hx%2FQ0050g0c%2FJt68erjpkJCqn%2F94Vk9vkrLgmKV3IRiT3vUZ1aYovibd0Ir4e6AvTaOevMX1Ct0zDsNEQd0WpJDamtED5tULDHluBtEeWTA8Lmt7mlPp7cx%2Bo%2FY9voROoJn3e80tD%2B5WIjod8016LEXKcu9RBsuX1XPI3xizConmypqIDI6roEKuGuvwyo11gartQLNdZQToaQNxJsNYtdjrCbPCcbrzmJqaAG89PglLPNjalihlAHg4kPd50b9SA0Poug1D%2FoK0xchcsm9QrpoUBkAsTZwRimVD%2Bh%2Fw0x9SJs9GwRMqgor5lEgtYI5LmTD7TqIFlSl3x%2BrnwiV%2FU6hzWPeKZMfNc1pi6XBTKXduioPY3jBLkCnAZf8V7ITtDdXd%2B4tm4tE0CjRfkMkj2DxIafPhe1PCZgXGYPf5nNVm1a9VW2xlJIaTFKXaTaK5zvtIKm4YMnHhXAE5Y3BE2NSVqTcS1V0TPzBII4b5nIkSG4sGe20My%2BlZIQsSq51I4YdKV0Gf6bl6VbWzZmKW7HB2TaZ6kiA1LvdpfCOletAAGGh0f4x3GvXB2wbA2GnXNPQL3Y31jRalPMfrG7zxpEC4hZvpCfpbPIRe1%2F6ySpFkUlfMc8GjBgBWLDbnJJulne0VKbrdRtQOUnkiavi98zsQR78WASNm2OJqMv36a9EsqIOVsA9ey0gblenfPxQE6DRpw6%2FOnBtt24U%2B1nTt4plxsaF6W%2Fb7emrgjSzMJZoxkyYKB6zNsjsZB0i71rkiHJFbKvEzxRph9C%2B7fmtAi73WRd%2BhP39srupeQ0foO2PgR0z%2FxtCs76UGUx6CLLsx%2FyYKs9smOKEIVKoyB%2Fp8gXb26kSF7OHPCi61vPu2gpEeGv%2Bu7rIPM%3D&highlight=false&headerTopBrand=false#polycard_client=search-nordic&tracking_id=76f431c5-eddf-4014-b70c-87fe29c86ccb&wid=MLB4660423580&sid=search,4.8,0
2,"HPKit Cartucho Hp 712 Original Preto 38ml Plotter T250 T650Avaliação 4,6 de 5. (28 avaliações)4.6(28)R$1.099R$989,1010% OFFem12xR$95,69Chegará grátis amanhãEnviado pelo",1099.00,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=oVFHTnNuJn6gtWTghz0OyceN%2B4ZjqQ%2B68QDirwi5AAAQRNPKxijKgZHjc0wyUtMW9xJLV1VihHXtLQZfF%2Fz7L2WreKw%2F%2FxZshOt1LgrC6c0lItysNa5wG0RryLNpZUcUpKaqCi4w03nAfpwRG3he9nC2%2BPAhZFMy4Yb5%2FI5sDIk%2BGWak8BnVFIJYZMeB3cdArAFQVhvezKKDOozVVnrUeYxC6cfp8nVKA4gJGmCydLM1mSQRn81w3kIqVjFD%2BL319oN7mt2pkkFny2tAkM9rTmK3bdlMIxqandGU7ZLyccQ%2BGsrUWmTVqtGkx06pfjtU3%2FBg3G2E%2BOVAoUkdzvJZNUjjTNz6a2efmlXIWyVf0jjygvhcMaXkvFdIAOKQXRpLqt%2F0i7Ot%2BGpSJ0ntX9h%2FcW2%2Fv3w9S3VxTlCksiaFQAMjwtDRS9meLl6zHltsHqNLa9x4xlTi6Qa4hFf5hCRg01PPOeRcPtAAviJAngYsAp2PLaY6sDz3txBUUkvJ4QlEQwrvRPLNEYBsqnbJ0SnmsaO0SFbECMcrwnskuqmUAZP4F3DSXLQTAHQegW92%2Flcy%2F8k%2FBHcrHUS7OLou77XqXthBwUwOx7bjpy97zfAMWqc2ucTVbkAehRZLfnlCku7x7yDsEEd0vo4v1lMfTMlpfdXWdhsxB0Nd%2BUs8BXLb1iMKP24JyMAe43zGYPHSD9wfK3j98BTNTe9BlSpGEYqtt2oh2L6gAUQl%2BJA8TU8S7YH3D8n5z8W2%2FSUK0JIuraL7dyHdtj9eIUy5OZvDoon4qTymI%2FhWWSOqHdGDIrgnir%2BuYFrCgLZYzAeNZROl5H2Or8%2ByRTvpVdRFrv5yEwovjl3dJXFNIASKCA%3D%3D&highlight=false&headerTopBrand=false#polycard_client=search-nordic&tracking_id=76f431c5-eddf-4014-b70c-87fe29c86ccb&wid=MLB3750171931&sid=search,4.6,0
3,"HPCartucho Hp 3ed68a Nº 712 Magenta 29ml HpAvaliação 4,8 de 5. (18 avaliações)4.8(18)R$229em12xR$22,55Chegará grátis amanhãEnviado pelo",229.00,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=B7GzLUY%2F%2Bp0Yiq8dMKtxYrLO6JqQ%2BC9wAeF2VYQ1FaCEZBx%2FpYLkUHIwB3HkyKega0vAcCT82fNXKQEwYhNMPQwxs3zGISh1guVKBlga4vxHaWdGYvYbQmTUTuDefko2PxkrIxPKLXfNFJSyUZB66o6wKOCsZi8C4nE8j3ygySqLPzQBEu6%2BPEVWzOF3yTSNdYdjFmh49rHkQJAu6s77BYCXEMOvH3p3Jt2yYl5px9x%2BgdSUG1q52wurmmxjPPWUWfhbUT4qUuxwglmJFv3akFl6dE1DvkQdWvgwIRbag6nHQ7%2BZWKGqMvTOSG5ojb01euD1ca2NpF0DXNcw1ajdcQFKswk5EGbyHKIZoUZTy6wX2lweUUgq9NGeCCx%2FP%2FE9aoKFBRdrVxLDNnO%2B9BXrW8q%2BqeOEf38FsKlhbevSe9XoTDkWglIEub6BsSlrfs%2FICOd3F2WDGFFHgxt1O6pWDgT8FWrJNHU1fS3x%2FTgcUbfIGK9yTBKKtu45LamEKSptN8a8WmB2WNznAYYkKiQbHXQkebdYexjjMMnAc%2FZyzrcre7hpjXmWR68oYsQbcLgCCOuBP%2FFMhJ%2FqFUQq0chUc8zfXEEnQPFdim8NtTFvwJ9DFTIt%2FMDjU4gP8Gpv4Q%2FIsiPo8JVnGcXAhHvcxhse4I9UaqAPQKJIiwVf9D43ij4A5ohH1X5PK5T1Pj2YNohBdB02iXGy0oHLHI08zfsVVITGFcOgfvNgZag9KY%2BeKHhqLycK%2BByqtZ1hRmdy9ANEVayTGDQjNv0mwD1kOkuTC0Y1CmI3U33x71ZfqXvOANW%2FUl28GmfH8EmubyTmniBqcNuVkIzDpFWge0qAMXy0j%2Fj%2B6TXrfPOhAdHBWOwkN1gpoWJhICiR8OaMXQz6m1WbdzzDjr9TtEbFLXfywoO0B81ddl7e5d1sbov5uoOpJO6PC3IWnxBtli7Vd95PKXLbIfGXBiADH%2BETFLgEx5HDG3A3M3W2kk8%3D&highlight=false&headerTopBrand=false#polycard_client=search-nordic&tracking_id=76f431c5-eddf-4014-b70c-87fe29c86ccb&wid=MLB3841639115&sid=search,4.8,0
4,"HPCartucho Hp 3ed70a Nº712 Preto 38ml HpAvaliação 4,8 de 5. (28 avaliações)4.8(28)R$289,90R$260,9110% OFFem12xR$25,52Chegará grátis amanhãEnviado pelo",289.00,https://www.mercadolivre.com.br/cartucho-hp-3ed70a-n712-preto-38ml-hp/p/MLB22534666?highlight=false&headerTopBrand=false#polycard_client=search-nordic&searchVariation=MLB22534666&backend_model=search-backend&wid=MLB4660423580&position=6&search_layout=grid&type=product&tracking_id=76f431c5-eddf-4014-b70c-87fe29c86ccb&sid=search,4.8,0
5,"HPCartucho Hp 712 Preto 38ml 3ed70a HpR$267em12xR$26,12Chegará grátis amanhãEnviado pelo",267.00,https://produto.mercadolivre.com.br/MLB-5046759064-cartucho-hp-712-preto-38ml-3ed70a-hp-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=8&search_layout=grid&type=item&tracking_id=76f431c5-eddf-4014-b70c-87fe29c86ccb&wid=MLB5046759064&sid=search,N/A,0
6,"HPCartucho Hp Original (712) 3ed70a PretoPor LepokR$329,93em12xR$32,28Frete grátis",329.00,https://produto.mercadolivre.com.br/MLB-2770840497-cartucho-hp-original-712-3ed70a-preto-_JM?highlight=false&headerTopBrand=true#polycard_client=search-nordic&position=9&search_layout=grid&type=item&tracking_id=76f431c5-eddf-4014-b70c-87fe29c86ccb&wid=MLB2770840497&sid=search,N/A,0
7,"HPCartucho De Tinta Hp Plotter 712 3ed70a Preto 38ml OriginalAvaliação 4,9 de 5. (18 avaliações)4.9(18)R$260em12xR$25,43Frete grátis",260.00,https://produto.mercadolivre.com.br/MLB-2199982950-cartucho-de-tinta-hp-plotter-712-3ed70a-preto-38ml-original-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=10&search_layout=grid&type=item&tracking_id=76f431c5-eddf-4014-b70c-87fe29c86ccb&wid=MLB2199982950&sid=search,4.9,0
8,"HPCartucho De Tinta Hp Plotter 712 3ed70a Preto 38ml OriginalAvaliação 5 de 5. (3 avaliações)5.0(3)R$297,50em12xR$29,10Frete grátis",297.00,https://produto.mercadolivre.com.br/MLB-2204385156-cartucho-de-tinta-hp-plotter-712-3ed70a-preto-38ml-original-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=11&search_layout=grid&type=item&tracking_id=76f431c5-eddf-4014-b70c-87fe29c86ccb&wid=MLB2204385156&sid=search,N/A,0
9,"HPCartucho De Tinta 712 Preto 38ml Original Hp T210 T250 T650Por Primer PrintAvaliação 4,9 de 5. (18 avaliações)4.9(18)R$409,25R$380,607% OFFem12xR$37,23Frete grátis",409.00,https://produto.mercadolivre.com.br/MLB-1945769390-cartucho-de-tinta-712-preto-38ml-original-hp-t210-t250-t650-_JM?highlight=false&headerTopBrand=true#polycard_client=search-nordic&position=12&search_layout=grid&type=item&tracking_id=76f431c5-eddf-4014-b70c-87fe29c86ccb&wid=MLB1945769390&sid=search,4.9,0
10,"HPCartucho Hp 712 Preto 38ml 3ed70a HpAvaliação 5 de 5. (1 avaliações)5.0(1)R$269em12xR$26,31Frete grátis",269.00,https://produto.mercadolivre.com.br/MLB-5046685672-cartucho-hp-712-preto-38ml-3ed70a-hp-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=16&search_layout=grid&type=item&tracking_id=76f431c5-eddf-4014-b70c-87fe29c86ccb&wid=MLB5046685672&sid=search,N/A,0
