id,titulo,preco,link
1,"HPKit 4 Cartuchos Hp 711 Cz133a Cz130a Cz131a Cz132aAvaliação 5 de 5. (1 avaliações)5.0(1)R$1.349em12xR$130,50Chegará grátis amanhãEnviado pelo",1349.00,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=xf0lnaCFLLgczrH10jaM91u%2Fce1Su7Qn2E2bL%2B1Y0UQ4wD9tKJcVIM2M6i8TjGcUrIlRiLA1lL4yj5E1IAZejsQfvClJNBYqrr0YZpuEu3RqqRorBA1kq3c8igN8nMJDFwCoJmSEj0gsQTsl9sDpCtYYpKC51G2vhEWIlRELeZcroL%2BwhoeGVltNlg%2BDIxZBkzWKpaQhdZh%2BMK6nuq1mM1x3633BvtSGcOM7HHfpXKsXbo3D11JAIKAYILk5Fl7Cc9e0M1vSas7QtqwPm%2FEUiHFP6z7dULxRafLIvNVtt9nJusc6R8TNCrggdPXp%2FRT%2B4qI%2B4p6XU6c8YlScV1pSygjFlMx8IfZa0Pdys%2BW4TiJrOsZd9EGGXi0sQJuP6UnEtTmIrM6HCC1iZAoSvXkAJjZaAwhurI%2BAQb05hSj9cD54xXk4kAZKIQr0xHJAglIQfP1lvurdLMbsAH0%2Bae8VJBzWmSziGAy4B%2BQKzQ9zlqv%2FDvLV7Eo%2FJgbBGyXm6hAgNgksD8EcT9QHsT3deI8bueMwumKCgIGD0J%2F99joiiM0tFzYSF%2BwFhw0ORmQIgXp5aXjfpftJ67JSx2kuacLL%2BQxlH8QIuKCaPg%2BsHj6iulRrGgeR7Mp2CoK9eMXhtqf1r3q0h%2FbE7zIfGnVgBx1myyaHugfBTCLnAJoVbkuHCK6dpEuOIUssfuow3WZlOXq6RwbJubabgxk8zTqYBX8IPqHcSQPcOJIRfWSfZXq2RgAG0qY2vTz%2F49rlilbN8XoWWSIl7zprc1OLTGPczCX1SqsBx3EGS6%2FLTZq1uo6zy%2FgFewLP%2BjfgBCa3MoSKG6kCokLCRtCWd5wkpnmN86q0%2FirTg29D5gN9i4w1Mq3iY4vE8O5B3987adT%2B538btO2mHZR3zwPErDbHPNWqLUK7ZvJvSlqijTlpzkdyqB71G09nZiQ4sSCTY6t2YAz4%2BYBUn4zcrnGn%2B81GBf2JXTkt4IIvaz0gDpFMiFOI%2BOYz&highlight=false&headerTopBrand=false#polycard_client=search-nordic&tracking_id=f23b440a-fd87-4f25-8626-bc3af6b34644&wid=MLB5265617890&sid=search
2,"HPCartucho Hp 711 Magenta 29ml Cz131ab T120 T520 WespetecAvaliação 4,6 de 5. (28 avaliações)4.6(28)R$279em12xR$27,29Chegará grátis amanhãEnviado pelo",279.00,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=4sjUwmKHsuRQjJA1lmbUwA22yRJ8aFuX7lj8RwubsSNi2qbFNEvtsgdVjhluDMyVRac7q51p5uOObnK52EC0QhGaYYTjFE%2BUAfcgROpaUyNS7F40uN20DuIsSJDJndHINOcVQjhP1cTZj5eQ0voDD%2BWIaIGFzCPFDNo2w7CcQ2jCyOIZr7ZakMWooIJYSefgZUlOeBOdwUN1X49k5ElYe0b8ITBwHhhv%2FvjEiBEgXh4kDjoeLLXeH7121tLnYxIO1EHxnqjvpUDTEGMHaf9UmTyAeqM7LyhBUR3PhrLHAMsWsyGr%2FRmpRZYLCHVuXjLrs80VWhL%2Bsq%2FFGlpdhkfSbCk1E5sUakwFXPwrMvc9krMUZLuGcCVPI3LGuv1%2BuQiH%2Be82Z9byxjmx1Eq7kU7sE6LA0BfvfS9j%2F8yQLNH4feFGCfUkDEEY3nXpJpY2PjYQM5IEUgjfbhtN%2FREDQN%2Fxm4JSfuplBWb5b%2BcdySxxYhEq3b931E7KgA5IV51Mcza2vgTnBjqQ%2FP42ltXu%2BuGRFzmNn%2Fjt46wJSaGWQSbXEyNi71DVihJjCDW4Tr12JUOhFtSMyyinp%2FkTB7TE5vwLFf5G0YpHTI8jt1afMVp3Zvuv4OJJY77bDJsXycm%2BHOIYuJ%2BKq7swTP2UUK9uJ%2Bo0EOg%2Fl4sg083Iv%2FADc5uC4NTcDI%2FuSXrmNQcBOwHtPpTRqpix58Q104roWVTTmigtqzf3gqlxGstz8h2BIJ%2FwhXXd3BYY%2BQUkD3yAj6YKEhL4AONAGJ9GRWIVMPQWEWgCLJZ5dcD6%2BZ57%2B87N8wPnXqLEMnabiKcCNypGQU54Q8JO8eJuwyUdULBGJhKcLP5VldRpDpv65KvGt8e%2Bu1z9YxzGEworj%2F7TTIgUvjSywYROVGpPy%2F0tBicXzv4oQC0VqqUWuMWxryP93Bm0lYWZFCal0HlAdNGCfwKbPa9iH32ygfbk6YuQTDyhm6JHALp5mYWV%2F9uiDjYTgyjLOx62PF%2FQU5g%3D&highlight=false&headerTopBrand=false#polycard_client=search-nordic&tracking_id=f23b440a-fd87-4f25-8626-bc3af6b34644&wid=MLB5046849900&sid=search
3,"HPCartucho De Tinta Hp 711 Cor Azul Do 29 MlAvaliação 4,6 de 5. (28 avaliações)4.6(28)R$279em12xR$27,29Frete grátis",279.00,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=%2FKsjDnRS3n4pRKcDNuXvgPV3R6Tfx85TEkUjxaJQ0XbnkdjfUXD9SS7v4QZwmrvpuHB37SQ58BTqKXrc%2B0Yo4Dw7hH6b%2FT3nKkChXB9hPFmsga9G8i6sE64t09reF1uincNj7WyktpLW99jKm%2BIqvhnlzPy5OPtcIKobedcrY%2BCllkHfxgL%2FMlqbs9IUU3B%2F4X7xdKHfn%2FAJ%2FdaZItlpgaPf5lC2ULqvM62enEdCwqsVfkiPnwlIcwR9RkEsUGfhrxsPRX%2BMN6u8rE%2FE4tvdYjVEec%2BrfbgZ%2FzgGtWuXJQarvPJhwMFUTq3GLgROXrcGAaWK22alWh0dI8HRXt07kxqz79el9xjqP21hJzAAM8xrhhtRjMCNqDbFn%2FomN9h53RJ3jnOHtDr3EXGyJS0KEZ%2Fji3IjM3iaVY%2BGGyfacA%2BLSO7Fz1%2Bf5Qf2AoOdQtgtgIR2%2FnDzbnMYpLdZgtEUc9QNXquwPE5HVDuZRC35OMzzpuRH%2FkATzR5dOb1eNafAbrEteTzalME%2FG6s2PATOsp5l5dKVyQ5ihiwx6n6CdGhv3zmUjC9oWOHgHkgs1sIb4vMS0jUZbYi6GbyT8MfKEMF0G8GOUyxv7WRpsqTa6g6%2FQKNayMw5b7WRfs08qQwA%2FVnEyvgDcnGVWF0wdYLWk0iSOWLIyAUAkfj0YgudIipa6MPFjPy8oRMH3%2Fqd0ioq9lgxo6Zf5YPMzp8EVPNLzlXJOCT7q0GZkdSY1gcILX618UOPnrP4ozP7wxmhZxjUMSuVGvgQ651YQG%2BcHHISo4u6KB3CN1drpqZSrSa%2Fn%2FnRlVix%2FPRaH4FwM9HHbOHPURePUSBC6C1gXD5MXuPGeEvpp0v9MmQtf9vMzQdK8p74fAvwdmqe0dLQfOKPgsyryxFuscW78Am1uOgzUuXY1U1ueS6xj%2BgTiwgUe9C8b7svXpf%2Biyvo4SpGx7eZk9EW0IrKkLvuk6cbU7dYEDPnbyP%2Ba5U%3D&highlight=false&headerTopBrand=false#polycard_client=search-nordic&tracking_id=f23b440a-fd87-4f25-8626-bc3af6b34644&wid=MLB5046810994&sid=search
4,"HPCartucho Hp 711 Magenta 29ml Cz131ab T120 T520 WespetecAvaliação 4,6 de 5. (28 avaliações)4.6(28)R$279em12xR$27,29Chegará grátis amanhãEnviado pelo",279.00,https://www.mercadolivre.com.br/cartucho-hp-711-magenta-29ml-cz131ab-t120-t520-wespetec/p/MLB24113440?highlight=false&headerTopBrand=false#polycard_client=search-nordic&searchVariation=MLB24113440&backend_model=search-backend&wid=MLB5046849900&position=5&search_layout=grid&type=product&tracking_id=f23b440a-fd87-4f25-8626-bc3af6b34644&sid=search
5,"RECOMENDADOHPCartucho Hp 711 Cz129a Black - T120/ T520Avaliação 5 de 5. (10 avaliações)5.0(10)R$337em12xR$32,97Chegará grátis amanhãEnviado pelo",337.00,https://www.mercadolivre.com.br/cartucho-hp-711-cz129a-black-t120-t520/p/MLB39273129?highlight=true&headerTopBrand=false#polycard_client=search-nordic&searchVariation=MLB39273129&wid=MLB3841613289&position=6&search_layout=grid&type=product&tracking_id=f23b440a-fd87-4f25-8626-bc3af6b34644&sid=search
6,"HPCartucho Tinta Hp T120 711 Cz132b Amarelo 29mlAvaliação 4,6 de 5. (28 avaliações)4.6(28)R$279em12xR$27,29Chegará grátis amanhãEnviado pelo",279.00,https://www.mercadolivre.com.br/cartucho-tinta-hp-t120-711-cz132b-amarelo-29ml/p/MLB24120710?highlight=false&headerTopBrand=false#polycard_client=search-nordic&searchVariation=MLB24120710&wid=MLB3841674201&position=14&search_layout=grid&type=product&tracking_id=f23b440a-fd87-4f25-8626-bc3af6b34644&sid=search
7,"HPKit Cartuchos 4 Cores Hp 711 P/ T120 T520 24-t520 36Avaliação 5 de 5. (3 avaliações)5.0(3)R$1.179em12xR$114,06Chegará grátis amanhãEnviado pelo",1179.00,https://produto.mercadolivre.com.br/MLB-3841462617-kit-cartuchos-4-cores-hp-711-p-t120-t520-24-t520-36-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&backend_model=search-backend&position=23&search_layout=grid&type=item&tracking_id=f23b440a-fd87-4f25-8626-bc3af6b34644&wid=MLB3841462617&sid=search
8,"HPCartucho De Tinta Hp 711 Cor Azul Do 29 MlAvaliação 4,6 de 5. (28 avaliações)4.6(28)R$276,90em12xR$27,09Frete grátis",276.00,https://www.mercadolivre.com.br/cartucho-de-tinta-hp-711-cor-azul-do-29-ml/p/MLB36750247?highlight=false&headerTopBrand=false#polycard_client=search-nordic&searchVariation=MLB36750247&wid=MLB3725243547&position=22&search_layout=grid&type=product&tracking_id=f23b440a-fd87-4f25-8626-bc3af6b34644&sid=search
9,"HPKit Cartuchos 4 Cores Hp 711 P/ T120 T520 24-t520 36Avaliação 4,9 de 5. (17 avaliações)4.9(17)R$1.399R$1.24810% OFFem12xR$120,78Chegará grátis amanhãEnviado pelo",1399.00,https://produto.mercadolivre.com.br/MLB-3307740166-kit-cartuchos-4-cores-hp-711-p-t120-t520-24-t520-36-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&backend_model=search-backend&position=24&search_layout=grid&type=item&tracking_id=f23b440a-fd87-4f25-8626-bc3af6b34644&wid=MLB3307740166&sid=search
10,"HPKit Cartuchos 4 Cores Hp 711 P/ T120 T520 24-t520 36Avaliação 5 de 5. (3 avaliações)5.0(3)R$1.179em12xR$114,06Chegará grátis amanhãEnviado pelo",1179.00,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=x23U3Bp1ifcIIYvY4ISsTXtcNXDWQhraHoIahX7gSNYlGOu9nAW7Sfh0jH8YO3%2FlgqX%2FcolQk7tOARbIYy%2FCRBbxB9SXNw0VQgxCAbxPDiWeOuiU4kSSWwDvJZUpQQcXj7pPkEi7vr7FzI%2BpkRlnH%2B6XZbah%2BVERb13OW5bDnxPDa0%2BXiASncqvAC9DabCynpa%2B%2BcSGwjCQck2XrWcQuT%2FlwMDpX6GRFjaql2vxpO%2BL3lKPXO9ZoXKfnCBsSGQglk7e6kYkorGBKXO2bxGb7s3Tai%2B%2BLnPovOb%2FnlyvSf2KZov1OceB92NfBE0uZULDFlyG%2FwzHBDKpejy%2BRorUDkpYC%2F4Ymm10COV6g1jErUhQM%2FuFiyZ6Eae7wnt%2FDpibvv%2Fvp%2B97K0eYwDjxJCutF9QeGzCSsrsCsZS7zUWx2v3WY2aQJO24OyZVN4ta8F6TXU49Ei5BGQoPfmHLGLiAI9cYh9%2B3xeqpuIkpejESGOJ2xyjlffAVl%2Fa1bD0OqPUbOOiprKXQpEaX8nLpzVUwCPPiwUSYyYKhSqmoc2rObBy29NILnj4r7Th828RRGVkS5A8MRsJsliIvxA7ndQ%2BLR8rZ8TI96HXd%2Bn9ma1PqQIWzQtx%2FzXxAdk87YCHmcUfzCNBjnmar9MHJVA6tiaIpslJj4WBdDz%2B9hyeGs7pGw9FzedIBZ%2FNDPJj86Ldk17gdHEcjcZC7gE694wK8iqDBTI%2Bgm0sgIivKgn5jVdMVI6G2y5G5ht7Lukim6WC%2BlGbDVOW9seuFVAGV39KwPio3itrQjLrV8ldEBUrkD5wl2FPyEKVYLOsNS9URFnBLuJfI4OEPQ%2FbqUeaOueBQ5LsMLeFO1%2BWOMQr9z&highlight=false&headerTopBrand=false#polycard_client=search-nordic&tracking_id=f23b440a-fd87-4f25-8626-bc3af6b34644&wid=MLB3841462617&sid=search
