id,titulo,preco,link,avaliacao,num_avaliacoes,comentarios
1,"HPCartucho De Tinta 712 Ciano Hp T210 T250 T650Avaliação 4,8 de 5. (15 avaliações)4.8(15)R$229em12xR$22,55Frete grátisEnviado pelo",229.00,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=JZQHcdlmf9TXx0Wph%2BhCaMzGXZfKC9Y5T95b1MEVRR%2Fz7aVSqWcCRCDeYPN3bUcRTe%2B%2FKn3%2Feh%2BkS2puduZbJKPRgGQDOY3X1tE%2B12DAO%2FByLG0CGg84wLBeZ%2Fg5afB3SRjKv0rGIKtYXYqZDjidsQjb5jzxT16DEJHdimPwNsVR9TfKYj5MJV79hWbD4vbPBwf3yFC87vGKgNUuF%2FzGbUsc%2Fyle7j0kqJXP2THuoUfG3LmG53pbxnJwA6i3CY9SrT955FxI4gn5hSJPhJjjt1%2FReYnI1gQsZ0uDmOZ%2BXK3SsqeICIe0QZxs5L%2FJvUWPDJPpNmMZbhbJKdz54LDWOZZ9E9dq2AwuD%2F7CAAin5Iq6JWuBK7OQVHJngK5cMtba3TZPrnz%2BUfhqyZFd1SOWz0lsM7m25BSYMs939RkC6nTxbN3MkDGSh%2Fpu7oGYKFjvvbeWTFDyzpaDa1l3kBUFWaZqrPEGPreXdqW857Tx3AUE4P5P%2FpU%2B1qa99CElCVM%2BYKNKZsZvQYeIGTYxBsO3X0Pdny%2FKQD2pEzdLVdBZ3WsK3RPRa6sNsy7Kd6mXD%2BvMXeiJ1KY6eysWpjocP5a583MvJVAtnFZQEQ%2F8Uj2trvoxQpPImzxAcM%2FX9thdINIQLIMZBEQvfDtKVdsonX4baMuR7dmdOCygCxNUv%2F%2Br5agNgOpIMKcUsLZISBNGT69b2cnqx%2FmxvX3ZdCxiaff2kHUkjYZxULV%2Bg1s3sO5ga6X5YjTIeBfipzbsxZqcx%2Ff8bPdVnkkOTFT%2BGNFwNQRgGHcMsmylUe1m4YtNzr39SCHyFisUdeZd%2BnjUJF1kR7JzOyIirkRj2yDMRspz596Rx4dcVO70wjiS3LejttTAtmY%2FFD5Ngq%2FEP2wMBCUjrjDOk1u8x8jsqZxyJMzC7e0KFvkOHP644yfCd5bDoxEiw6L%2FQe1Dkw0NgQl5QjRxOX36%2B%2Fs9RX9KVNF6X4OgVkD23WLiN20wwa6p&highlight=false&headerTopBrand=false#polycard_client=search-nordic&tracking_id=c37698ee-3b20-43e6-9946-ce60be6b153d&wid=MLB3841626547&sid=search,4.8,0,N/A
2,"HPCartucho Hp 3ed68a Nº 712 Magenta 29ml HpAvaliação 4,8 de 5. (18 avaliações)4.8(18)R$229em12xR$22,55Frete grátisEnviado pelo",229.00,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=e7juFIavgwUw1MIkIpC3%2FrFaB6OaJ9afLQGdtDACkUWxisL9DAe7AxhguSkpf1ZLSNI9iMv4LAmRmEXKVGaDSQvQwXlTe6B8591eHpNL2ApcttBaPdl%2BBXme%2BhTO5jB98Tb7pwTbB8mzilNd7hjx0TBi3bZ%2Fe%2BPspXxz8sESoq4pdcSvoYre3Blq8gCE0ThUt7n19GXd1VIpxqzAz8MqgwqME10ByAn4sDRAs9DKCjOyu3vgOrTytKPWWJx7WQr%2F6dkynZlyI42l3iG1nU0ysjr1kJczEz0dtOL%2FdrL7%2FtPg%2FGM4%2BEKc74yLpHw6QAQNNfxCuqCdlPYPnSCImwdCpaUt3oXe%2B0XyR8KT1wfIMgzNZswvVT4ChFmZH8afKhg5N4k79F5K0%2BPG3zv0kAv8BL3895Wq6N6XzOhRq8DT7cG52%2FnPOYhfgL9tD63mCpr%2BLgLVkrHHz6CqhgvhAA3BfBlZUXLFQVkXbWdWhvYbbvkolWbEBLuBsMbSL%2BfroHLTZXA41gYMZY0ZOU%2BlRUA4V2AW6EYWI%2BPCjRQFJS2CglAnHsZ05NHhWl0Pt%2Bgnj%2F4fdiHYxXbAw2L7RQlh91iSv09hDWrZ2FdkjekWFPl7oCRlLNzzh2YmGkSSNBaVF6hcv2r7abSOQnad4eUiCWhy1QE86bzMi5EhNn7ovtzKbsSRw%2BAXY2oq%2Fu9c4fSxb0e4xTuMJmO1Wtq2kVbaQJItyAFsai1Rzn2ihEMm%2FvATPoCwLN%2FHbFIVUO1DWtIrVORjsJF%2B7OCXn0FBeY5l8BsUIhV4krxfhrUcLyh5J4VpnKo5qyLNuP0T4qZv%2ByIIxCbs64B2pEn1TzNw9ELE8kT6k9exOvIdoWUdWQzl9UhVWHglAFZJUNJ3N%2BfOVvNQ8YYmR6Jp3X033SKqRmlL90EllpFkA3K%2F6KB%2FbmBoh1tJQK9cCfwxnDaCOpCX984GqFKqzvFNhvKMr7HTh%2ByyocjueBaqoA%3D%3D&highlight=false&headerTopBrand=false#polycard_client=search-nordic&tracking_id=c37698ee-3b20-43e6-9946-ce60be6b153d&wid=MLB3841639115&sid=search,4.8,0,N/A
3,"HPCartucho Hp 712 Ciano (pack C/3) 3ed77a HpAvaliação 5 de 5. (3 avaliações)5.0(3)R$453em12xR$43,73Chegará grátis amanhãEnviado pelo",453.00,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=vMZ8wBJzP5S%2FslUl2KI7Jx7o%2Fs%2FY2EMQ0YtQNQHnmQw%2BeD6EpWuCIjmOekjqSnKIn0WMN8tjt9mCxQLHPojXRbgVYyilrrxqWrZCbSctgnHOXS8asxUx6Xet9s7wAawfax%2F%2FldvkuSjQqhUA8QKz97arKhbQ1rR8%2FYMpWbX2xQpHD%2FykdzGvTvf8j6kdmAQXLDAPd1veNsiDtmZQm%2BHgcd2OyaBS%2BHVFg8u2e8SF5OsFxji3OFnXPU1VVrDh0LRFywGOwJl9biSTtuBywXuIgjKwrw9cQ5kFt8BFo4k4tIA6MExpWBbcgditEidY6uX%2BjbID6L5CfSUokdCqC2QCASN09Rj1HKPdgNmfmd7BE5n%2FeIY4vd4VVuSXG2WyNvFUaTzmdg%2FbbIYTzxSm0gdd5XS2hMoWEOOu%2BwESiM6kQNLDCRp9aLRx%2FP6jhlaZkwSvSM5iZlHe0qjXeumqqKRZ9XOoTZjHvBOxCNRpzDxOPaStVBtjevGVjHfMtrsYP0NzuFF0Usw9HEwET04gjY7Kmt6yQVgeCu8vEHCkVYpb%2FfEiMHRm7i0iKFJ%2FyoD0ifZ3AOJtGZooMeRHJxFuV5MhtpvL0GwqnTEPbNt2w1FtXdrT7tqW7j8aF04GK6JXyORYmnpEYX4EGcelwOeD8ruKPXyI7JDMxUy0qIw0TZysSzH0F%2Fob%2FkYHGbIm5fcYvc5eF30rybzulIoO6%2FSzMJDQ%2Bp8G5Kxlm0PPgGM88QEtE13u5S44htjs1XuqCQeg1ab94LuwibKpwLVGA44Ld3qfCii1Ff4H2PufEMZ0NcghxDR1oFCjJEVh8XW4JUdUUSTjSFiaT8voaIrV7%2Bb9YcLev%2F%2BK87peoxBTQCtEJD%2BNr41vGJrDoEspxGKtYDisyFXQzfmKxOtMJjgXLPZXucgEMIIlTfcHRoJoimO8jn%2F%2BrkKs8ozOfGnUHDch8DuxJ7dRIRSPv16J3Pu2%2BExj6uez4ZQ%3D&highlight=false&headerTopBrand=false#polycard_client=search-nordic&tracking_id=c37698ee-3b20-43e6-9946-ce60be6b153d&wid=MLB3866464859&sid=search,N/A,0,N/A
4,"RECOMENDADOHPCartucho De Tinta 712 Preto 80ml Hp T210 T250 T650Avaliação 4,8 de 5. (46 avaliações)4.8(46)R$419em12xR$40,45Chegará grátis amanhãEnviado pelo",419.00,https://www.mercadolivre.com.br/cartucho-de-tinta-712-preto-80ml-hp-t210-t250-t650/p/MLB22536214?highlight=true&headerTopBrand=false#polycard_client=search-nordic&searchVariation=MLB22536214&wid=MLB5046810704&position=5&search_layout=grid&type=product&tracking_id=c37698ee-3b20-43e6-9946-ce60be6b153d&sid=search,4.8,0,N/A
5,"HPCartucho De Tinta Hp 712 Amarelo Pluk 29ml 3ed69a WespetecAvaliação 5 de 5. (14 avaliações)5.0(14)R$229em12xR$22,55Frete grátisEnviado pelo",229.00,https://www.mercadolivre.com.br/cartucho-de-tinta-hp-712-amarelo-pluk-29ml-3ed69a-wespetec/p/MLB22304579?highlight=false&headerTopBrand=false#polycard_client=search-nordic&searchVariation=MLB22304579&wid=MLB5046799182&position=6&search_layout=grid&type=product&tracking_id=c37698ee-3b20-43e6-9946-ce60be6b153d&sid=search,N/A,0,N/A
6,"HPCartucho De Tinta 712 Ciano Hp T210 T250 T650Avaliação 4,8 de 5. (15 avaliações)4.8(15)R$229em12xR$22,55Frete grátisEnviado pelo",229.00,https://www.mercadolivre.com.br/cartucho-de-tinta-712-ciano-hp-t210-t250-t650/p/MLB22559081?highlight=false&headerTopBrand=false#polycard_client=search-nordic&searchVariation=MLB22559081&backend_model=search-backend&wid=MLB3841626547&position=7&search_layout=grid&type=product&tracking_id=c37698ee-3b20-43e6-9946-ce60be6b153d&sid=search,4.8,0,N/A
7,"HPCartucho Hp 712 Ciano (pack C/3) 3ed77a HpAvaliação 5 de 5. (3 avaliações)5.0(3)R$453em12xR$43,73Chegará grátis amanhãEnviado pelo",453.00,https://www.mercadolivre.com.br/cartucho-hp-712-ciano-pack-c3-3ed77a-hp/p/MLB22546182?highlight=false&headerTopBrand=false#polycard_client=search-nordic&searchVariation=MLB22546182&backend_model=search-backend&wid=MLB3866464859&position=8&search_layout=grid&type=product&tracking_id=c37698ee-3b20-43e6-9946-ce60be6b153d&sid=search,N/A,0,N/A
8,"HPPacote com 3 cartuchos Diginet Hp 712 Yellow T210/230Avaliação 4 de 5. (6 avaliações)4.0(6)R$453em12xR$43,73Chegará grátis amanhãEnviado pelo",453.00,https://www.mercadolivre.com.br/pacote-com-3-cartuchos-diginet-hp-712-yellow-t210230/p/MLB36796527?highlight=false&headerTopBrand=false#polycard_client=search-nordic&searchVariation=MLB36796527&wid=MLB3866515915&position=9&search_layout=grid&type=product&tracking_id=c37698ee-3b20-43e6-9946-ce60be6b153d&sid=search,N/A,0,N/A
9,"HPKit 4 Cartuchos De Tinta Hp 712  Preto 38ml + CoresAvaliação 4,9 de 5. (8 avaliações)4.9(8)R$979em12xR$94,71Frete grátisEnviado pelo",979.00,https://produto.mercadolivre.com.br/MLB-5046766074-kit-4-cartuchos-de-tinta-hp-712-preto-38ml-cores-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&backend_model=search-backend&position=22&search_layout=grid&type=item&tracking_id=c37698ee-3b20-43e6-9946-ce60be6b153d&wid=MLB5046766074&sid=search,4.9,0,N/A
10,"HPKit 4 Cartuchos De Tinta Hp 712  Preto 38ml + CoresAvaliação 4,9 de 5. (8 avaliações)4.9(8)R$979em12xR$94,71Frete grátisEnviado pelo",979.00,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=jM%2F259zobwKTZdwkvH2ArwcDZMZ3gy7sWd61mIsHADLa2UWVUqhWcvaIoMilILxOn3vW6VjdYmMvGpCBz04CLif7nCHfyznkEzwOE5stG2D0TKmtpZWgjUTGIEupaYABKigNc8CwahuZ7TQy2jqPRvrzQtha3beR2rzhau%2FLS%2FzDJfjkZSzzQ12piz7VALIyM5JTrboOznkVW%2FPajVCdaN%2FwUHAUoYQNT54Ajvpda2YTigd5h9lhFQiAf9AArBEOUKj7jZoaL3uhCAOokU0fF9VMkCNiqPg6%2B3P9T7qwup1iK7oOqIWmz6toBryI1TJwFwEXZFnV2QHjx%2FIhcbvAk04R8dl29%2BcvsLSjwFO88AY%2FoNM%2FYraDtLliu83MveLTtMQ7m8f%2FMGX3S15g1H0Dn%2B43AWpHPsyvXwqqea5IibzF7p9e9X%2FjCeqHvaCIe%2BwHC215wXhqP9FQXXNv3pkGMZDKjAtrknsED4EjL1MsEfi6OmT2RwDaIoY5GFMC%2BQoyzo2WO%2BCqibkTEdtMkqpOsGEXA7mEoksUxTly%2FY%2FzKHtGn0KuCFqF2r8vgYVzMdKch2ddxdVOaXfS0gBo8%2BEEhPGICH57AeHpZ2%2F%2Bwfcov6LmmDTEXOJhlyD%2BpKoFVPB%2F4nZYZTEQWBXAfgGhIldDlhBjiXaCVYfGot1R9YOrJB%2B9ZVc1wClHzXOvzm4euAKTE9Gj2IfQhA6gZ%2B5P5gR0R3dZsatt3PkQx9TD7mPvT3vu7DOitOiq54f1OzumIFkRO2qhmw%2FkHf6IrmKrcBQAVswCawqsA0Pz5npHp7nFkjff%2BpykviGEmGmUyeZ0Mvz0LSniRcX3dtNTPgO1hHpKRfH7iHk%3D&highlight=false&headerTopBrand=false#polycard_client=search-nordic&tracking_id=c37698ee-3b20-43e6-9946-ce60be6b153d&wid=MLB5046766074&sid=search,4.9,0,N/A
