id,titulo,preco,link,avaliacao,num_avaliacoes
1,"HPKit Cartuchos 4 Cores Hp 711 P/ T120 T520 24-t520 36Avaliação 5 de 5. (3 avaliações)5.0(3)R$1.179em12xR$114,06Chegará grátis amanhãEnviado pelo",1179.00,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=ye9rfJFx8SqqAV%2Fu6BDkrq32SNaVv1GCEY5YZEu1TE9KcUVYngTzQKv%2BukvdUvLLGHYxEBnntmiT4y0IvYaIOuR7K8%2Br9fW9bua4FcV%2FnkkgW%2BCvFJ8IGOd3p7aWJfL%2BrX3GnCtYVg%2BJth%2FgHABQBwPnKteEpstnAu%2BPa3NFaKVLuhxZOMI0RwrCh28R6FmsK9N05iJyZ22A%2FvV%2F4SSdfIluoYkniu86nfHIzo4Zb42RgcLMFzgfjmWcEOHQ8yFl2UcT9uPctVbE%2FkecEx66c1txtU3VPeTRYL0zW6nlO4LL4U1gkywR88RyfrFGVEHjq0XDfHygL%2Bd29Q84c0I9%2BCG41cNbDvDoI3G6jNPV1UrCylwW1LLz3i%2FD%2FgHgpSrEJuPOnbVm%2F5ubHvtrbVxymCtYnqR2btoCM22WkJ5sylaXm%2BxIo%2F3b7b2EwE20cqTp3cdeisQw60cB4imU4EmOIhysgD3%2Bf4zQblTJVrn0y62WoYH4cF7tIb4VcGZpl0knUqeO%2FEe5FTT2Em6ycJX1UmiThR3yK90hF%2F6Cgx1aolpES6tk%2FSmLAGAGez2Ko6KqL5jtUrI5s8CPA09YuP4%2BQQ6tSK%2BXJEU53jvauSMxAxDMMu9avFA%2Fge3CsPBe375nqN46TpMAeYs%2FV8UOiUbUy4o5DRDKFDheFgr%2FOWF1pP3U5ZCIR%2Fy4ZP%2Fa0dgz3v3lacQ7owbFKNyJYMFQ2avZXWnYkmMvfJS9%2Fwqm4eJUNVHkTYWMLsm8bzVcOctqm3SrWPHprseB0tActMo7x8KHejEyBxovbg5A6ROb1x9U%2FpMS0dzNTekv%2FuPeGj7ghogps%2Fyh%2BYnNA6D652SoaWAW5a87v7vbRDhyGx8%3D&highlight=false&headerTopBrand=false#polycard_client=search-nordic&tracking_id=242d22b2-c1bf-4e0c-afda-d50ac063e64a&wid=MLB3841462617&sid=search,N/A,0
2,"HPKit Cartuchos 4 Cores Hp 711 P/ T120 T520 24-t520 36Avaliação 4,9 de 5. (17 avaliações)4.9(17)R$1.399R$1.24810% OFFem12xR$120,78Chegará grátis amanhãEnviado pelo",1399.00,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=QH0lAkJ1tRMlf5Ja6RG3nHIflpmE3Ws1C2Vi9EHcXXIZdTJwMU6faeqTG5Ee550RH6Q4cKMogAOsOx8R0mJ8ezxIA0wuNc0dr8HDnZoEUKsTjTeja4cl2tEPQFIQBUyFivrcvEIzCSGuGxaLi5iOPOAsecKJXtnLLruFtM5E3xmQFqRFlclJpGJAWwZC0pattt0tfgdOxzJQIMEtVYJr5l%2FxNzWgUQcjAEs%2FbXV38XzTVT3GPhne6DSdrTWYGB1fUEVCAeYojzQHC6Y3Yt6nm7t4lobm2FTFTTJPMO352VYifnC6mnt0B0mh%2FQk3811LqXVcqD4GQwa8zJ6qhZvAymrtRm2gxOvb%2FR7wmqfvFkSKKT8%2F8A5d5s7NZNliWZKQ6gQY8kr3%2B2Pn7NTtWINuRAHOd%2FCuNA3nRBx6H5JhrqxrS4NXFYe7v5empdyQEEvweMiXIahl4cYqkKeNAkqsAbfZHkJSK3ttPbyvui6WAdKkSqiv3idrjzvCHHVN%2FfERvb0VXC96QkLXQuxeUInnOOo8HIZ%2FP%2FvbeGhUe0o0W3j%2Bzi%2Fi%2BvJWLWy4ZsyqRRxJ5lixLLm1n6JI1aD%2B7kVPs6tWqDshO4%2FyQ0B3t3eqXGrZ4gzepUdFwqHgL5MMXjV7a7%2Bjkt%2F1CYSkEW2rpGfCxOU%2Bzh7kMf%2F6OD6HRbC0XmacPFXgL%2Bo5JmQCCnuPpfVn4Fk0L4cE4uIeKxFuTKWlWC6Kz11KYtuSbaxlpAbaYtQlWZOzX5oHA1hUOA086LmETvNxrVcEz7jdMIWQYokBhIUVOk9UdusTroHAg2YPI%2B0eVBLjx8SgNycNsBDjr0W5Ft8YfdRd%2BzFdWuvIH3EQeMNOirl6x1VNLg%3D%3D&highlight=false&headerTopBrand=false#polycard_client=search-nordic&tracking_id=242d22b2-c1bf-4e0c-afda-d50ac063e64a&wid=MLB3307740166&sid=search,4.9,0
3,"HPKit Cartuchos 4 Cores Hp 711 P/ T120 T520 24 T520 Preto 80mlAvaliação 4,5 de 5. (2 avaliações)4.5(2)R$1.454em12xR$140,67Chegará grátis amanhãEnviado pelo",1454.00,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=UNJ7mqMMtOgxH0Qnz%2BlPm0EUyxzWJCOY9Pcuu0VpQ7K3XiX61nd7HVlX7YbcbAlHNRIEQLFdsEYMdSoJ19IrTxUAXqkJ48eII71FP5Klr8b9jJj51VBt4k5L37dxwi%2FIeKq2%2BAM7RKFUe3CgXdPVxcqQaaDUmBH7Z1hLZXwVE4edYI03zAt0SZ6reySNVgDDHRZOaQDcdgYvlPQAlHE42bSmEn3ICitZH5y%2FbhJT6Zlu8PecQx%2Fk9O6VRtMJVSIZuZl6eU3oDQX%2BPnFg9dYp5bOrSvBOz0Kl1dY9XwMuhDv8XJZq9G%2FIQufI5CGYN%2BEy5J7PhRjCqpkS0We6z3Puw83ODW6vHJ7L%2BbMr1gtiPcuwF61xOuq5SkTuBRpwKSUxlwkES018qfSZOOZN3C7zwEEPPRc4mvEsT56MwhT6wcS3GQ%2BKKmItMB2yb8LjqwzfY3gpINpkPOdPuwSFJ4sOHwogIJ%2Fzcz8BZCafsmoWT2cokpMSQxE1vFEPcW3mpz0VSMIifVYlZGGIWeZtaSOHAxh3vF8J6Dnzov24Pu5zXgOiiLZEhyhy3jtFqDee%2FNuyiLTkS2QRY9IGpDZV5id9isS1V4kIniuCL5Ta6MxMB6A4NRSVjZ108XOsbxsUtLSIp2II48xb122JBrIIcZoXHoMQB28TREYU9XYHrKFnpLG9HHrGsfKL7bj1ooHfPvTK7r8AkLEV%2BWusNzntc31SnMpfesHrG9CoL0h2nEzZVmg%2B5Yn5RmLQelMbJcRn3THyfVbrmec7N8ukGXq0Jw4eqqt1cYKEaweTIkXYoZTif3QrK6Ppf1WjRd0luv3EROCovgQc1kyRmrMA%2FdTwNr57AX59PFpTedeTWtpu6WmA9TtN&highlight=false&headerTopBrand=false#polycard_client=search-nordic&tracking_id=242d22b2-c1bf-4e0c-afda-d50ac063e64a&wid=MLB3721212871&sid=search,4.5,0
4,"HPKit Cartuchos 4 Cores Hp 711 P/ T120 T520 24-t520 36Avaliação 5 de 5. (3 avaliações)5.0(3)R$1.179em12xR$114,06Chegará grátis amanhãEnviado pelo",1179.00,https://produto.mercadolivre.com.br/MLB-3841462617-kit-cartuchos-4-cores-hp-711-p-t120-t520-24-t520-36-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&backend_model=search-backend&position=5&search_layout=grid&type=item&tracking_id=242d22b2-c1bf-4e0c-afda-d50ac063e64a&wid=MLB3841462617&sid=search,N/A,0
5,"HPKit Cartuchos 4 Cores Hp 711 P/ T120 T520 24-t520 36Avaliação 4,9 de 5. (17 avaliações)4.9(17)R$1.399R$1.24810% OFFem12xR$120,78Chegará grátis amanhãEnviado pelo",1399.00,https://produto.mercadolivre.com.br/MLB-3307740166-kit-cartuchos-4-cores-hp-711-p-t120-t520-24-t520-36-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&backend_model=search-backend&position=6&search_layout=grid&type=item&tracking_id=242d22b2-c1bf-4e0c-afda-d50ac063e64a&wid=MLB3307740166&sid=search,4.9,0
6,"HPKit Cartuchos 4 Cores Hp 711 P/ T120 T520 24 T520 Preto 80mlAvaliação 4,5 de 5. (2 avaliações)4.5(2)R$1.454em12xR$140,67Chegará grátis amanhãEnviado pelo",1454.00,https://produto.mercadolivre.com.br/MLB-3721212871-kit-cartuchos-4-cores-hp-711-p-t120-t520-24-t520-preto-80ml-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&backend_model=search-backend&position=7&search_layout=grid&type=item&tracking_id=242d22b2-c1bf-4e0c-afda-d50ac063e64a&wid=MLB3721212871&sid=search,4.5,0
7,"HPKit Cartuchos 4 Cores Hp 711 P/ T120 T520 24-t520 36Avaliação 5 de 5. (1 avaliações)5.0(1)R$1.199em12xR$115,99Frete grátis",1199.00,https://produto.mercadolivre.com.br/MLB-3841481553-kit-cartuchos-4-cores-hp-711-p-t120-t520-24-t520-36-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=8&search_layout=grid&type=item&tracking_id=242d22b2-c1bf-4e0c-afda-d50ac063e64a&wid=MLB3841481553&sid=search,N/A,0
8,"HPKit Cartuchos 4 Cores Hp 711 P/ T120 T520 24 T520 Preto 80mlR$1.499em12xR$145,02Frete grátis",1499.00,https://produto.mercadolivre.com.br/MLB-5323872968-kit-cartuchos-4-cores-hp-711-p-t120-t520-24-t520-preto-80ml-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=9&search_layout=grid&type=item&tracking_id=242d22b2-c1bf-4e0c-afda-d50ac063e64a&wid=MLB5323872968&sid=search,N/A,0
9,"HPKit Cartuchos Hp711  4 Cores P/ T120 T520 24-t520 OriginaisR$1.279em12xR$106,58sem jurosFrete grátis",1279.00,https://produto.mercadolivre.com.br/MLB-5097258266-kit-cartuchos-hp711-4-cores-p-t120-t520-24-t520-originais-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=13&search_layout=grid&type=item&tracking_id=242d22b2-c1bf-4e0c-afda-d50ac063e64a&wid=MLB5097258266&sid=search,N/A,0
10,"Kit 04 Toner Compativel P/ Uso Hp 206a M255 M283 Com ChipPor Tec PrintAvaliação 5 de 5. (4 avaliações)5.0(4)R$1.159em12xR$112,21Frete grátis",1159.00,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=2Qg7Ovuf1RGceRsetXalDVy8xIIGhP7k27Umz62vOmADyGTomFj%2Fj6ksRzw54UI0wZJKFi9i2Yt7z8u52RRGhCy%2Fv1ccxkPzZZ2IcImB83kivE%2FF4lmnkUouHoDhreYfv2lUY6VOSWumR1bjpHUEjbxvuMgtv8HbIMiW%2BAC2HYHKSiTT%2BZ3kRHAjawyrrRXtafi5AEiuGLfEbDLCxUrX6RmxF6OMmzRYnlDxd7LuQr0xzrveJ1OqidpjDzU3tlWQQV4KEBGMR6MRCbvuM40OUdm6gNw3Kz31aLsdgKyXjnwkjJIh85sm%2B%2BOm2DYqGeyRb%2BB09CwvsH3FjCq6vpx1V4gx9bbFa1H%2BMk%2FwqAWQAPYhVZM7rYSRhSsdzZj6O%2F3inuFRwWjv%2FXVoEHqJ%2Bw4Hp0XmVf7YVz8%2Bc7yCrC5zjiAAbI1LDp0q1hn%2FW6WFwcif1vTMLiijplEkLTgkZN%2BA5s2oVKXfLOeh7m6u3A2rWjypZ90YaTRDb4BkJPGRR6g70iY0qj7P378SvguBcIjjMB1H1f6W9C%2F%2FU%2B2qm%2F43wdRjeDL6lFRSEHM3IsqoQTLxLwfe9yb07%2BuW6OQn8hijzUy1rrg0JDBis92%2BC3M42O30JWAmt4OX6JUTdcJcEnSLEi%2Fi9CFXL9QlxAvPZ0WzP%2BcPMTjQiyjEaVaiDWAfUuK1H8uQjTdAsAqbPf6T7Hsv6xHzKluS5q96KgFXZovtvs3XzOckkGxUX%2BxW9W6Zso9I3Zf5418YqUokg5IRu306q2JmQlPf7A1IS6rGtoabwa8k1MPYKAIsyqu5CUzIkhn2Mw10AIMrJAdAk6c3PX7dnZ9KQcpo5LV4cu5Alp%2FwNZ93AlnR0dzzSyDJoRAIq%2BuP55x7f6orDaf4r4H3jSZiq73LMsR1DDPNOTe%2F9%2FVWy49nimJsHxCQLwxugZWQul%2FQougajMgnUAOzBixSejUE&searchVariation=178096557067&highlight=false&headerTopBrand=true#polycard_client=search-nordic&tracking_id=242d22b2-c1bf-4e0c-afda-d50ac063e64a,N/A,0
