id,titulo,preco,link,avaliacao,num_avaliacoes
1,"CONTROL IDSecbox Modulo Externo Para Controle De Acesso ControlidR$259em6xR$43,17sem jurosFrete grátisAvaliação 5 de 5. (1 avaliações)5.0(1)Patrocinado",259.00,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=asHn%2B0KSMO26VKudZBwgBQh5wNhV8vfBTSzeC3T2UV0wHio2AKd5PREqJpPuXKq1fQ7o5uymAIIk%2FnU6PTvCyzbM57gE2RtitfXV%2Fo4%2BlBvmsYKgyYkGFjp2nFnCXwU3OcuT4UshceAxieQP8bbFVSLiI8%2FxuJ7HWdkQe%2FRJkzHt94rIm9mPV2rK6DW4HgqW6AHrxliPJ0OayauzxVg13fXdEVLccmB1bcoiY9HWuILz%2BWyv3PP70Rn40KZinB8Eb4R%2FEmdpYVleDQeXMh0xBfCXrDmkQ%2B2z0IaOQGXK06vj2bp8xbbme%2BPQ0NWtHA%2BDFIjYYvCZGRbV3muW1EwAobNpiTJJbb52S8DN7I9R1u2AZJpwEwiaeJeZQ%2FxBCDZiHX2pSMIxN7NK%2FHMXtbxh7ewsDOxdT9HisDIogWjhCGsvPl6AEE3GMBV6Up7zXa7EnHq%2FHdLcIcD9FP2T8EJZRGl9B%2FqGbOFxWIv0%2FA8o%2BmN6l8lNJuzhL7Ch5AelLCJTyM5UaUS7SekZyOwxfxmotB6jaxoF3ptpA6Lpn%2BzYsCB2%2BVcw%2FEXgmTI9m5Xb28qiTNJw%2FpQDWfpdX6e0Kj4vVC3rQ%2BstY6MofkMslGbGi3pmrTw70K%2FVzru%2FzCCmjFjlkgSxF29nepb%2BoENtYIqOogsIHCJ98NU%2FbRwxct4V0CWdtcUoon7TlcHbj5nnLvUgrf5KImK4F%2FI4qyfYXG8BsQQ70%2BlKYSLmErTKWx3OaNjbdAAtNYO622G2U3FnJwbQ%2BrSGhwK4BRk4yyJ5y18vlDlWt7b5HpmXy5ei7%2FycedMmg9taYJrE4Lc30l%2FI9mI8kIbK%2BjZb268F1LwJ1CWvet6OkOtf%2FDpx60AcJQ%3D%3D&highlight=false&headerTopBrand=false#polycard_client=search-nordic&tracking_id=f1b3ca67-cfb4-40d8-aa85-9825b876766e&wid=MLB3890871591&sid=search,N/A,0
2,"CONTROL IDSecbox V2 Controlid Módulo Relé Para Controle De AcessoR$249R$199,2020% OFFem6xR$33,20sem jurosFrete grátisPatrocinado",249.00,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=ITvedkuKHguK%2FTuMHLA4pKQkKIBHsMgbktrSOPdTD7M7Aif%2FUDn427CSudyP7rzeH2aEGxyoXbiex4z2A5j%2FFSCueB7H2%2B%2BR1cdXV7EZSpPOo2lwnz9uNMYsAf5g7QNB%2FSFCSoinuWgWi5VC72VBuBvW0NcC9feqlWg%2FP%2BiJrMMX3wgFZxdK2aN88oxMepJvnemU2z4WkNa%2Fxn6Kf4oNhnUVyirsuwj7oQ2g7rfEV5N%2BLzGt4NPnDi4zqDxVvJfX3G22m4bNpTO1ptNatz1zoV1QjdAF57Icrr7Ocr%2BGLAqQu%2Fj%2F9V6aw%2Fm4Xy572KNBx%2Fsa8jZKkaUHs08UXS7WCHae4av381U7%2FHjSzs67W8iMEDQwVhMqmeA704aegfG52xfdy4Yc0CPFHEpM1md6Lrmr6AEaEd9cBjrccamU%2BlEcfSVd3nPllPZ2xEmyrYsVBvOttYr%2FyBr8b241JJ96OWqZ3T%2FJwR5bQVn9mfRBcA1zDDJT%2FNSTsFuto3LUfIvgA6OuJwuznyOWqc4SfruG1sY%2FXMzI9jITB93V77HRSAw64iR7cK%2BSz0Mx6n9UcmDNpI411LKEZnUf9Bwqoq74EzRg%2BuRF4TC0EjegXnZ7J62CMI89FGPy7BjcsAxjLjZfBlrpY3N828Mza1QD84IpJVjLGLG7CWtSy5oW8r9AX7wUgOkiaPdj495RX4uCv2%2BpMvFvZ9SekeWcyVYPs7Lr180X8sfVGOKxQa4NI4ZoAxiCwTCCrxfkRtvhgG43IngKakDu0O6t%2FkuigildR7%2FdedsRAWSOGf1Yj81TLuT1EOtSAj3kKufyBknMXUGrA7lPXO4y1koE0wYCj%2FMzdXZp63wTUpEeNvm488%2F0dmOr&highlight=false&headerTopBrand=false#polycard_client=search-nordic&tracking_id=f1b3ca67-cfb4-40d8-aa85-9825b876766e&wid=MLB4078899865&sid=search,N/A,0
3,"CONTROL IDSecbox modulo externo para controle de acesso Control IdR$126em4xR$31,50sem jurosFrete grátisAvaliação 4,8 de 5. (6 avaliações)4.8(6)",126.00,https://www.mercadolivre.com.br/secbox-modulo-externo-para-controle-de-acesso-control-id/p/MLB35742966?highlight=false&headerTopBrand=false#polycard_client=search-nordic&searchVariation=MLB35742966&wid=MLB5144068396&position=4&search_layout=stack&type=product&tracking_id=f1b3ca67-cfb4-40d8-aa85-9825b876766e&sid=search,4.8,0
4,"CONTROL IDSecbox Modulo Externo Para Controle De Acesso ControlidR$259em6xR$43,17sem jurosFrete grátisAvaliação 5 de 5. (1 avaliações)5.0(1)",259.00,https://produto.mercadolivre.com.br/MLB-3890871591-secbox-modulo-externo-para-controle-de-acesso-controlid-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&backend_model=search-backend&position=8&search_layout=stack&type=item&tracking_id=f1b3ca67-cfb4-40d8-aa85-9825b876766e&wid=MLB3890871591&sid=search,N/A,0
5,"CONTROL IDSecbox Modulo Externo Para Controle De Acesso Control IdR$192,75R$157,9218% OFFem5xR$31,58sem jurosFrete grátisAvaliação 4,5 de 5. (2 avaliações)4.5(2)",192.00,https://www.mercadolivre.com.br/secbox-modulo-externo-para-controle-de-acesso-control-id/up/MLBU3118408423?highlight=false&headerTopBrand=false#polycard_client=search-nordic&searchVariation=MLBU3118408423&wid=MLB4030662123&position=5&search_layout=stack&type=product&tracking_id=f1b3ca67-cfb4-40d8-aa85-9825b876766e&sid=search,4.5,0
6,"CONTROL IDSecbox Modulo Externo Para Controle De Acesso Control IdR$277,13R$263,275% OFFem6xR$43,88sem jurosFrete grátis",277.00,https://produto.mercadolivre.com.br/MLB-2033986083-secbox-modulo-externo-para-controle-de-acesso-control-id-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=9&search_layout=stack&type=item&tracking_id=f1b3ca67-cfb4-40d8-aa85-9825b876766e&wid=MLB2033986083&sid=search,N/A,0
7,"CONTROL IDControl Id Secbox - Módulo Externo Acesso Controle + KitR$189em6xR$31,50sem jurosFrete grátis",189.00,https://produto.mercadolivre.com.br/MLB-4046087455-control-id-secbox-modulo-externo-acesso-controle-kit-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=10&search_layout=stack&type=item&tracking_id=f1b3ca67-cfb4-40d8-aa85-9825b876766e&wid=MLB4046087455&sid=search,N/A,0
8,"CONTROL IDSecbox Modulo Externo Para Controle De Acesso Control IdR$182,75em6xR$30,46sem jurosFrete grátis",182.00,https://produto.mercadolivre.com.br/MLB-4009672643-secbox-modulo-externo-para-controle-de-acesso-control-id-_JM?searchVariation=183180449690&highlight=false&headerTopBrand=false#polycard_client=search-nordic&searchVariation=183180449690&position=11&search_layout=stack&type=item&tracking_id=f1b3ca67-cfb4-40d8-aa85-9825b876766e,N/A,0
9,"CONTROL IDSecbox Modulo Externo Para Controle De Acesso Control IdR$277,13R$263,275% OFFem6xR$43,88sem jurosFrete grátisAvaliação 4,8 de 5. (8 avaliações)4.8(8)",277.00,https://produto.mercadolivre.com.br/MLB-1638320533-secbox-modulo-externo-para-controle-de-acesso-control-id-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=12&search_layout=stack&type=item&tracking_id=f1b3ca67-cfb4-40d8-aa85-9825b876766e&wid=MLB1638320533&sid=search,4.8,0
10,"CONTROL IDSecbox Modulo Externo Para Controle De Acesso Control IdR$275em6xR$45,83sem jurosFrete grátis",275.00,https://produto.mercadolivre.com.br/MLB-3919804265-secbox-modulo-externo-para-controle-de-acesso-control-id-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=13&search_layout=stack&type=item&tracking_id=f1b3ca67-cfb4-40d8-aa85-9825b876766e&wid=MLB3919804265&sid=search,N/A,0
