id,titulo,preco,link,avaliacao,num_avaliacoes,comentarios
1,"SONYSony Playstation Cuh-2215a 4 Slim 500gb Standard Cor Preto E Jogos FisicoAvaliação 5 de 5. (8 avaliações)5.0(8)R$2.799R$2.37915% OFFem12xR$198,26sem jurosFrete grátis",2799.00,https://produto.mercadolivre.com.br/MLB-3948170127-sony-playstation-cuh-2215a-4-slim-500gb-standard-cor-preto-e-jogos-fisico-_JM?searchVariation=186681959719&highlight=false&headerTopBrand=false#polycard_client=search-nordic&searchVariation=186681959719&position=37&search_layout=grid&type=item&tracking_id=9343209a-868c-4a64-9a24-974a136d6a6e,N/A,0,"Até o momento td certo, produto não apresentou defeito. Atendeu as expectativas.; E muito bom gostei muito.; Muito bom.; O produto veio bem lacrado, até o momento não tive nenhum problema com ele, roda tudo muito bem, é uma ótima opção, eles deixam você escolher o jogo que vai junto com o produto.; Tudo funcionando certinho!!."
2,"SONYSony PlayStation 4 1TB Call of Duty: Modern Warfare II Bundle cor preto 2023R$2.599R$2.4695% OFFem12xR$205,82sem jurosFrete grátis",2599.00,https://www.mercadolivre.com.br/sony-playstation-4-1tb-call-of-duty-modern-warfare-ii-bundle-cor-preto-2023/p/MLB27803477?highlight=false&headerTopBrand=false#polycard_client=search-nordic&searchVariation=MLB27803477&wid=MLB5393701106&position=1&search_layout=grid&type=product&tracking_id=9343209a-868c-4a64-9a24-974a136d6a6e&sid=search,N/A,0,N/A
3,"SONYSony Playstation 4 Slim 1tb Standard Preto Onyx + Jogos FisicoR$2.769R$2.40913% OFFem12xR$200,78sem jurosChegará grátis amanhãRecondicionadoEnviado pelo",2769.00,https://produto.mercadolivre.com.br/MLB-5413723124-sony-playstation-4-slim-1tb-standard-preto-onyx-jogos-fisico-_JM?searchVariation=183785209016&highlight=false&headerTopBrand=false#polycard_client=search-nordic&searchVariation=183785209016&position=38&search_layout=grid&type=item&tracking_id=9343209a-868c-4a64-9a24-974a136d6a6e,N/A,0,N/A
4,"SONYConsole Sony PlayStation 4 Slim 1TB PretoAvaliação 4,6 de 5. (35 avaliações)4.6(35)R$2.249em12xR$187,42sem jurosFrete grátisOutra opção de compraR$2.199À vista",2249.00,https://www.mercadolivre.com.br/console-sony-playstation-4-slim-1tb-preto/p/MLB23248125?highlight=false&headerTopBrand=false#polycard_client=search-nordic&searchVariation=MLB23248125&wid=MLB4078448995&position=3&search_layout=grid&type=product&tracking_id=9343209a-868c-4a64-9a24-974a136d6a6e&sid=search,4.6,0,"Otimo ate agora sem defeitos no começo achei que estava com defeito.; Gostei bastante do produto, ele foi além das minhas expectativas.; Excelente 👏👏👏.; Meu filho amou.; Mas o fio de levar energia ao o console n funciona e tive que colocar outro modelo igual."
5,"SONYSony Playstation 4 500gb Grand Theft Auto V  Cor Preto Onyx Two ControllersAvaliação 5 de 5. (1 avaliações)5.0(1)R$2.399em12xR$199,92sem jurosChegará grátis amanhãRecondicionadoEnviado pelo",2399.00,https://produto.mercadolivre.com.br/MLB-5150834706-sony-playstation-4-500gb-grand-theft-auto-v-cor-preto-onyx-two-controllers-_JM?searchVariation=185831409415&highlight=false&headerTopBrand=false#polycard_client=search-nordic&searchVariation=185831409415&position=39&search_layout=grid&type=item&tracking_id=9343209a-868c-4a64-9a24-974a136d6a6e,N/A,0,"Meu noivo comprou, veio tudo certinho e e joga muito mas não gostei porque o the sims não é igual do ps4 kkkkkk."
6,"SONYPlaystation 4 + 2 Controles + 3 Jogos + Nfe E GarantiaR$2.529em12xR$210,82sem jurosFrete grátisDisponível em 2 coresRecondicionado",2529.00,https://produto.mercadolivre.com.br/MLB-5382445780-playstation-4-2-controles-3-jogos-nfe-e-garantia-_JM?searchVariation=187881739971&highlight=false&headerTopBrand=false#polycard_client=search-nordic&searchVariation=187881739971&position=40&search_layout=grid&type=item&tracking_id=9343209a-868c-4a64-9a24-974a136d6a6e,N/A,0,N/A
7,"SONYConsole Sony PlayStation 5 Digital Slim 1TB – Branco + Jogos Returnal e Ratchet & Clank + Controle Sem Fio DualSense BrancoPor WebfonesAvaliação 4,9 de 5. (7,290 avaliações)4.9(7290)R$3.999R$3.20719% OFF no PixouR$3.449em12xR$287,42sem jurosFrete grátisEnviado pelo",3999.00,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=EXz8ciEjc1ck7ZeEsT3U7jGBAg0qfFFIOnWUgX0WHfWVlaysLmhEQgvj%2FMAl3vkxIQ%2FPy90n2hnQe8cgdParTH0jMpRtpjdtiMEjvZH1wqiINB1jJQLupZK1ZLgp8QnvmGnyBFavXSTf7fP6U676t1C0FGecawekYYD2uDI%2FPNC7Z6DCNqGobqsUG5x%2FGJWVoex%2Ff3LO4rRvCJFALZxi4zG9RQZT1QuolasMbk2noeo%2BghohkhBygEg9F9Q34wJSKqPpRgEkYGAerKT6kbYxR6hj%2B4fbeRV4C1hR4qZmpf%2Fz%2BYz2BpL%2Brw8Ftd24ppVB%2FDGgc%2B3jvGS%2B8W5Y4dmKwDiNDYqSj75kHDnz4NERHDgf6zd71UGcVrw50m7q5r3W9nQC5G75sk160L44IeafNW%2BS8bZiKoQ%2FH0reHSrurHHOK%2FAIscf94JDSSCAcPp7fJAkYx1hkEYRJRqX9v4V0dPQ%2Bm37Jk9p7Pz%2FcPG2TwACB66CfrnIKNlZxL6ZmtkRhWmZk5C7NpyQE7vq%2By9jE70gRZu3SheOM0M%2FfCzWaUea2BufN08cGvWAL%2F59I0icwHOec0LNEPc3IBU2RYZaZJFF2WQ9T5aX1ipDbnOcHIZoqIwptTvgVd383wOSexdujMkK3xR%2F2lH9ctZhp1tvNtt7ne5DWI6A%2FlRBETNZy4XQAvNWYZmUP6oBq4%2BvkvhEwJ89zmYTr1%2BctXqCR3SE9OP4lPxp8W95X69CNVVFAM7U9ogMC%2FNzJgzZ%2B5lj9W%2BofhFRfsnRmmSxvt3bCHeW4h8dzoseNgSVySe6y9ck1%2BFOD9df8bcMbpdT2kEiXEa%2BOM30oksJTlNHqTU0Yml3cdkNGfg6p2mPZOEKodjCk2x5YDPxUUBKHbmm2VGKoli6eD7WxTmb7sFiv7%2FK3VVdXheIGzf6aAvuKu5n77H4M5XAKIYj68Roe3SmILa3LK7DBHsXvPnR09tVi%2Ftg9%2FQ51YHWcGnbOH1UPJkQhSck1Roh1%2Fs3HrMwqL29M0PXIFMwly2iADiAi7V9Yb7hivcsMZ5M9QBKtLKAwtEC680DfCkf56upH9kOgUQ%2Fvj9sHfkFt5V76HuRNaA%3D%3D&highlight=false&headerTopBrand=true#polycard_client=search-nordic&tracking_id=9343209a-868c-4a64-9a24-974a136d6a6e&wid=MLB5283889284&sid=search,4.9,0,"A caixa veio com um dano bem severo, porém o vídeo game não tem marcas, liguei o aparelho e quando estava fazendo as configurações ele veio a desligar e o cooler acelerou muito e desligou o vídeo game. Religuei e até o momento não apresentou mas falhas. Meu receio é que esse dano na caixa tenha causado algum dano, ou venha causar algum dano futuro.; Meu primeiro playstation. Estou muito feliz!.; No começo eu tive medo de destruir o meu casamento (eu e meu marido brigamos porque eu quero ficar jogando gta e ele god of war). Mas compramos um controle a mais e tem sido divertido jogar overcooked e descobrir os jogos do ps5 juntos. Recomendo muito!.
Os: criamos um save juntos no gta em que cada um faz uma missão, e ele me ofereceu pra ensinar god of war. Casamento salvo.; Ótimo console. Já tinha um fat,mas queria otimizar meu espaço. É bem mais compacto e ,portanto, compôs melhor com minha intenção.; Muito bom o videogame, estou gostando bastante!!!."
8,"SONYSony PlayStation 5 Slim Digital CFI-2000 1 TB Ratchet & Clank Rift Apart Returnal color brancoAvaliação 4,9 de 5. (1,324 avaliações)4.9(1324)R$4.271R$3.45919% OFFem12xR$332,54Chegará grátis amanhãEnviado pelo",4271.00,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=J3xBVaRhIy4JIt8A6lW%2FuTgt%2FhwQe6QdfbaXiaKyZgl87wwFi0qlLrT2Lwpl%2BUlgG1YSAVxGnAX6xbVU7QXjixwz5p4KDpBYZMxSwlK360YJuPJ9Weq9HX0vA16TX2N%2FgbgD0xhQEpObxUNNAcJAWkIqxTkCaz7610u376c2f9v1qF2x3OOh5qwoaoUvgXgta4AFc%2By90NFzT32VDPnkGj09XyxyG2dKHxIXzrdl69e4PmKyFd4ti%2BKgOT4MXWbr%2FIC3trJsfIGHnuTV7G8dJ5p2iMIYFm00x3yEeAK947wnZDllwaMnKCwx4aLgpE8kPqLmk4OjMwjlgRwfx%2BFZKwTSuSxosGVYsZKZwYMs1tU8YQxNWYzfTgdtz8xkw3yzC5E7zvP%2BFpsLAx5rDN43T4WEQmTMjN4Co98oXk6ywbbyLO0p8PDE7OskXesUrzmk%2BLN65GuI%2FZnehKxILe6q12fSyqFQQG5CI4XTvCNA%2BoXIAqFgi63YRavl6uK8ijozvuHKtkn9C0CaCq4i53XBncTQYBwLnL2U8c4snpY1tGVaGTieelx1o5vc%2Fq%2FczHrbzxa96nmwxiX618xW7KlMeEBJkSx40AxNObovAu3yH6%2Bc%2FtlmmsvQ%2FVU%2FX0CSuUENqxGx4BAb7jy%2BpPngKCq6RD0mYGuWwvCv2yDSWOHC0Dq4RTRqMk0QiprYvLdktiV%2BnU9f1zeM50xiGPKwomeThBjFJ3r%2FNE6IDuqQ0KkI6g8EGR%2F4yBBliQ5rIy0uE5srWTxxRNkBwS55vAdlhXpGBblvLd5IcLXjPDXhQplBWUH2Pv9UtwmH9R1ub599wu718Hf3n13ORnKqz%2B1PwD8EmhRRSB0oT5c9dRgiZg%2FKOF9apP2uUouJL4jlYuevsFjlaETJM1Kbq9DHq650dMWU6S8vbW9L8RK5NmrZkqq34bdVjc5XvBC%2BE7cts0K9du9yYHe8YHNcOP2Ct1TJdFKf2nB1y5NK22swt8lKMx1kfppuxw0NbtxhUETWXTvhhE6vR%2FRzU9IMtaJQ3s2X16Cnv7ZQmpV86ZArXTf9EjfNRAKJuZE%3D&highlight=false&headerTopBrand=false#polycard_client=search-nordic&tracking_id=9343209a-868c-4a64-9a24-974a136d6a6e&wid=MLB5217170558&sid=search,4.9,0,"Meu filho amou, mas acho muito caro, os jogos são caros, vem só uma matene, não entendo muito sobre isso, tomara que dure uns dez anos kk.; Totalmente maravilhoso, tudo certinho.; Vídeo game perfeito, peguei uma promoção por 3. 200. Não veio tijolos 😅 jogos sem load, controle com sensores perfeito.; Mt bom,estou satisfeito.; Comprem sem medo."
9,"NINTENDOConsole Nintendo Switch Oled 64gb Branco Mario Kart 8 Deluxe 3 Meses De Assinatura Nintendo Switch OnlinePor Gamer PlaceAvaliação 4,9 de 5. (970 avaliações)4.9(970)R$2.599R$2.3768% OFFem12xR$198,07sem jurosFrete grátis",2599.00,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=%2BZuOJsMffEIB%2FRIvxtMbu2jQHOGX4YTmIl96DD1XLlkEntvaO88huG%2BNaKhqxx8TB%2BHWChOEi3UQuNaAKeFMIhdl3%2B2XbaqICBZ7Rfe0vbhLiQvkzxUc1Mj5BK%2Fo36gPhbkfK%2FA1vUSHQu%2FsmURkN8wf8Mi2OlvbzDqSCAHQfsGjHw1FnPh08a6uEQqAya3ePkipb5Knt7om5i7qUXT%2FVy3eMP1nsAx0GPJNxOxEAChxet3bVRJ1laH2sstYRxCU068HCKrZb6T2iWvp3izdW1p6aKp1evrr4o%2BVzhimDkBsDA36fAVcxH1wQdsYORp44hGFy7yqG0w8hWg8OxDyNqRTMAe6rlBkeHhHBh4prr%2BFJkBDap3FkFdx5lFQir7Q9%2F0r3bhuiUntFYh6kAV77X%2Fn62%2Bq1q628EMdxTTnDuMYj5Q3WQJH695uDKndKcxCoOWagYgNrRik03Ak9gDc6o%2F8GSWZEmB1QkeL4DE9rnaFoNfoeDhth3cMp%2F1J7LU7eR6YFikS%2FWdl5iOpApvU%2BaQxX5v0KV4GS%2BZgl8I%2BExq4PKWtEr97U4GiBfHvehZ3oN3vXM%2BMfm%2Bk9jfSIL0%2BHbYmXoKIsuyMEJKZIJaLIZYfUBsN9Bou0DPhAZ4XxJQC9gZ3QtGp2kvY7OhDcFj%2FMePTwN2gmMfywPP%2BtqHKc3x43H1xkySuNDh%2B1Ls7ZL%2BqaPmiFrICi7c%2FygC4Epk5MaPoEPoSCc7KKuWHQ8vBnrxjHbFBFzJ1VqapwyvNsICHFYrTrYv%2FWlS2aKLzhIBXB5YvJUBe%2BWUqfxUfBcKAjB87hMZyfdcKI%2FxDj5F1N3cI8cSL%2BGwmfUnNxoN9TLXy6lvjZdQnwFji%2BTwe%2FISMsd6MKdI49m%2Bp%2Fltca7pw6eZreuO6SLptHGCLOoby8vD4imA1a7RvYYASVoGJxC3kj0HTHwAaz4uQ6wE5Wv5AzVP%2Bq4sM77cPykW1xFiwluzMwqC0iSbyAt3mpMFskQwrLw6gfs8gxmYo8HSXx6K43M9ZqdZy%2BOMPVgaTSiOJNIh8QfFrtAziPGhxZjlVlQ2AuD41n97zRy7Ttt4ZVBhBj4I%3D&highlight=false&headerTopBrand=true#polycard_client=search-nordic&tracking_id=9343209a-868c-4a64-9a24-974a136d6a6e&wid=MLB3931350575&sid=search,4.9,0,"Adquirir o nintendo switch oled foi uma das melhores decisões que já fiz! a sensação de nostalgia ao segurar o console e mergulhar em jogos icônicos da nintendo, como ""zelda"" e ""mario kart"", é indescritível. A tela oled traz uma nitidez e cores vibrantes que elevam a experiência de jogo para outro nível. Cada partida me faz relembrar os bons tempos de infância com os consoles clássicos, mas com a conveniência e inovação dos dias de hoje. Além disso, a portabilidade é fantástica, permitindo que eu leve esses momentos nostálgicos para qualquer lugar. É um console que não apenas traz diversão, mas também revive memórias inesquecíveis!.; Ótimo produto só a caixa veio com amassado mas tudo 👍.; Perfeito, me surpreendeu positivamente.; Se não há a intenção de comprar jogos em mídia física, 64 gb é pouco (tive que comprar cartão sd de 512 gb para suprir a necessidade dos jogos em mídia digital).; A caixa veio com furos e amassados, o que acabou preocupando-me inicialmente. Mas tudo ocorreu bem no geral."
10,"SONYSony PlayStation 4 CUH-12 500GB Standard cor preto onyx 2023Por MovacelR$2.299em12xR$191,67sem jurosFrete grátis",2299.00,https://www.mercadolivre.com.br/sony-playstation-4-cuh-12-500gb-standard-cor-preto-onyx-2023/p/MLB6252202?highlight=false&headerTopBrand=true#polycard_client=search-nordic&searchVariation=MLB6252202&wid=MLB4040892635&position=12&search_layout=grid&type=product&tracking_id=9343209a-868c-4a64-9a24-974a136d6a6e&sid=search,N/A,0,N/A
