PN,Título Encontrado,Preço (R$),URL,Timestamp
3YM78AB,,,,2025-10-05T03:19:33.871194
3YM79AB,,,,2025-10-05T03:19:37.754804
3YM80AB,,,,2025-10-05T03:19:40.529775
3YM81AB,,,,2025-10-05T03:19:43.634995
F6V28AB,,,,2025-10-05T03:19:47.293766
F6V29AB,,,,2025-10-05T03:19:51.299885
F6V30AB,,,,2025-10-05T03:19:54.947008
F6V31AB,,,,2025-10-05T03:19:57.942965
CZ103AB,,,,2025-10-05T03:20:01.647276
CZ104AB,,,,2025-10-05T03:20:05.060954
CZ105AB,,,,2025-10-05T03:20:08.005002
CZ106AB,,,,2025-10-05T03:20:11.405303
1VV22AL,,,,2025-10-05T03:20:15.001239
